"Step","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1263033.4322421693","-1263033.4322421693","-1263033.4322421693","-1217900.5645331","-1217900.5645331","-1217900.5645331"
"1","-1256009.88725864","-1256009.88725864","-1256009.88725864","-1281176.288722286","-1281176.288722286","-1281176.288722286"
"2","-1246821.6174690004","-1246821.6174690004","-1246821.6174690004","-1299457.649998465","-1299457.649998465","-1299457.649998465"
"3","-1255888.3592006094","-1255888.3592006094","-1255888.3592006094","-1322789.1849929614","-1322789.1849929614","-1322789.1849929614"
"4","-1260654.503028368","-1260654.503028368","-1260654.503028368","-1335436.7883547735","-1335436.7883547735","-1335436.7883547735"
"5","-1253961.0480658573","-1253961.0480658573","-1253961.0480658573","-1332528.1547255728","-1332528.1547255728","-1332528.1547255728"
"6","-1262226.6648021962","-1262226.6648021962","-1262226.6648021962","-1326403.4525656735","-1326403.4525656735","-1326403.4525656735"
"7","-1258636.3022029547","-1258636.3022029547","-1258636.3022029547","-1327229.8760850874","-1327229.8760850874","-1327229.8760850874"
"8","-1259425.681979735","-1259425.681979735","-1259425.681979735","-1321509.9556011052","-1321509.9556011052","-1321509.9556011052"
"9","-1253440.5872721947","-1253440.5872721947","-1253440.5872721947","-1324239.997982841","-1324239.997982841","-1324239.997982841"
"10","-1251361.8200734833","-1251361.8200734833","-1251361.8200734833","-1322825.8695112728","-1322825.8695112728","-1322825.8695112728"
"11","-1247254.6338236583","-1247254.6338236583","-1247254.6338236583","-1313480.4851354223","-1313480.4851354223","-1313480.4851354223"
"12","-1247073.2338969973","-1247073.2338969973","-1247073.2338969973","-1308194.8631128927","-1308194.8631128927","-1308194.8631128927"
"13","-1249698.0000698469","-1249698.0000698469","-1249698.0000698469","-1298943.6760473668","-1298943.6760473668","-1298943.6760473668"
"14","-1252078.0762008992","-1252078.0762008992","-1252078.0762008992","-1293425.3723616384","-1293425.3723616384","-1293425.3723616384"
"15","-1254889.9319018784","-1254889.9319018784","-1254889.9319018784","-1287322.3632316869","-1287322.3632316869","-1287322.3632316869"
"16","-1252328.327127031","-1252328.327127031","-1252328.327127031","-1284480.2133200339","-1284480.2133200339","-1284480.2133200339"
"17","-1253878.0661864837","-1253878.0661864837","-1253878.0661864837","-1284385.5692761021","-1284385.5692761021","-1284385.5692761021"
"18","-1254925.566917301","-1254925.566917301","-1254925.566917301","-1282477.703077358","-1282477.703077358","-1282477.703077358"
"19","-1256217.0558859338","-1256217.0558859338","-1256217.0558859338","-1283479.514497452","-1283479.514497452","-1283479.514497452"
"20","-1256046.8495714047","-1256046.8495714047","-1256046.8495714047","-1284829.758240552","-1284829.758240552","-1284829.758240552"
"21","-1256399.7313908515","-1256399.7313908515","-1256399.7313908515","-1287163.9884968596","-1287163.9884968596","-1287163.9884968596"
"22","-1255729.09788657","-1255729.09788657","-1255729.09788657","-1290082.56961665","-1290082.56961665","-1290082.56961665"
"23","-1257100.0293056432","-1257100.0293056432","-1257100.0293056432","-1291790.151984975","-1291790.151984975","-1291790.151984975"
"24","-1257084.949391997","-1257084.949391997","-1257084.949391997","-1293632.343877112","-1293632.343877112","-1293632.343877112"
"25","-1257249.8017498543","-1257249.8017498543","-1257249.8017498543","-1296158.237409557","-1296158.237409557","-1296158.237409557"
"26","-1258663.1249770988","-1258663.1249770988","-1258663.1249770988","-1299583.0198000844","-1299583.0198000844","-1299583.0198000844"
"27","-1260042.8430342234","-1260042.8430342234","-1260042.8430342234","-1301743.935655862","-1301743.935655862","-1301743.935655862"
"28","-1259822.0079098507","-1259822.0079098507","-1259822.0079098507","-1305396.9399509577","-1305396.9399509577","-1305396.9399509577"
"29","-1258305.6070022625","-1258305.6070022625","-1258305.6070022625","-1306609.2064652962","-1306609.2064652962","-1306609.2064652962"
"30","-1259312.2770274512","-1259312.2770274512","-1259312.2770274512","-1307287.2593965016","-1307287.2593965016","-1307287.2593965016"
"31","-1260310.2538192864","-1260310.2538192864","-1260310.2538192864","-1308989.4254835846","-1308989.4254835846","-1308989.4254835846"
"32","-1263351.492749496","-1263351.492749496","-1263351.492749496","-1309203.1022747066","-1309203.1022747066","-1309203.1022747066"
"33","-1265184.9373812652","-1265184.9373812652","-1265184.9373812652","-1309453.9203792375","-1309453.9203792375","-1309453.9203792375"
"34","-1264824.8334098305","-1264824.8334098305","-1264824.8334098305","-1309793.5305675652","-1309793.5305675652","-1309793.5305675652"
"35","-1266087.3072732608","-1266087.3072732608","-1266087.3072732608","-1310006.9755314242","-1310006.9755314242","-1310006.9755314242"
"36","-1265980.2781564775","-1265980.2781564775","-1265980.2781564775","-1310948.3565689358","-1310948.3565689358","-1310948.3565689358"
"37","-1266865.344855049","-1266865.344855049","-1266865.344855049","-1313210.441775079","-1313210.441775079","-1313210.441775079"
"38","-1266945.1890375693","-1266945.1890375693","-1266945.1890375693","-1313934.2170028626","-1313934.2170028626","-1313934.2170028626"
"39","-1267197.6517260843","-1267197.6517260843","-1267197.6517260843","-1316656.9723566582","-1316656.9723566582","-1316656.9723566582"
"40","-1266983.8158274132","-1266983.8158274132","-1266983.8158274132","-1318889.5332476723","-1318889.5332476723","-1318889.5332476723"
"41","-1267571.434548012","-1267571.434548012","-1267571.434548012","-1320044.5018490315","-1320044.5018490315","-1320044.5018490315"
"42","-1267616.7372540599","-1267616.7372540599","-1267616.7372540599","-1316735.25561366","-1316735.25561366","-1316735.25561366"
"43","-1267665.628025633","-1267665.628025633","-1267665.628025633","-1313303.027024399","-1313303.027024399","-1313303.027024399"
"44","-1268381.9806220667","-1268381.9806220667","-1268381.9806220667","-1308985.6066423794","-1308985.6066423794","-1308985.6066423794"
"45","-1266902.0486730903","-1266902.0486730903","-1266902.0486730903","-1304608.4242325753","-1304608.4242325753","-1304608.4242325753"
"46","-1266981.6847531758","-1266981.6847531758","-1266981.6847531758","-1300270.4275792153","-1300270.4275792153","-1300270.4275792153"
"47","-1267540.4057529022","-1267540.4057529022","-1267540.4057529022","-1295853.0459115629","-1295853.0459115629","-1295853.0459115629"
"48","-1268281.6371975613","-1268281.6371975613","-1268281.6371975613","-1291636.5145631535","-1291636.5145631535","-1291636.5145631535"
"49","-1269219.6782950806","-1269219.6782950806","-1269219.6782950806","-1288186.8705387942","-1288186.8705387942","-1288186.8705387942"
"50","-1268926.6961293567","-1268926.6961293567","-1268926.6961293567","-1283836.1759609748","-1283836.1759609748","-1283836.1759609748"
"51","-1269111.724092138","-1269111.724092138","-1269111.724092138","-1279593.6580467513","-1279593.6580467513","-1279593.6580467513"
