"Step","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1005138.234705192","-1005138.234705192","-1005138.234705192","-1011863.0442888482","-1011863.0442888482","-1011863.0442888482"
"1","-967889.2462851147","-967889.2462851147","-967889.2462851147","-916241.5943190804","-916241.5943190804","-916241.5943190804"
"2","-967767.3907145592","-967767.3907145592","-967767.3907145592","-915417.8082734788","-915417.8082734788","-915417.8082734788"
"3","-970319.5963684679","-970319.5963684679","-970319.5963684679","-904260.9340665509","-904260.9340665509","-904260.9340665509"
"4","-970756.9509798478","-970756.9509798478","-970756.9509798478","-899678.3738101985","-899678.3738101985","-899678.3738101985"
"5","-964011.7992799819","-964011.7992799819","-964011.7992799819","-876111.9327193629","-876111.9327193629","-876111.9327193629"
"6","-975472.7363988351","-975472.7363988351","-975472.7363988351","-857375.191484948","-857375.191484948","-857375.191484948"
"7","-973959.3359818235","-973959.3359818235","-973959.3359818235","-839861.0481174417","-839861.0481174417","-839861.0481174417"
"8","-972203.1329826112","-972203.1329826112","-972203.1329826112","-826258.0734098305","-826258.0734098305","-826258.0734098305"
"9","-971278.4904078692","-971278.4904078692","-971278.4904078692","-809431.9217692128","-809431.9217692128","-809431.9217692128"
"10","-965966.1690085134","-965966.1690085134","-965966.1690085134","-798619.8434023131","-798619.8434023131","-798619.8434023131"
"11","-964302.4416716093","-964302.4416716093","-964302.4416716093","-793223.8386708699","-793223.8386708699","-793223.8386708699"
"12","-964502.771255369","-964502.771255369","-964502.771255369","-786995.8760677683","-786995.8760677683","-786995.8760677683"
"13","-965751.4706707363","-965751.4706707363","-965751.4706707363","-779377.5806365929","-779377.5806365929","-779377.5806365929"
"14","-966258.2196483236","-966258.2196483236","-966258.2196483236","-774398.6336226815","-774398.6336226815","-774398.6336226815"
"15","-965082.5304421316","-965082.5304421316","-965082.5304421316","-771372.1255569913","-771372.1255569913","-771372.1255569913"
"16","-963335.1879124318","-963335.1879124318","-963335.1879124318","-766666.7330541044","-766666.7330541044","-766666.7330541044"
"17","-960908.9195708284","-960908.9195708284","-960908.9195708284","-762805.9123455717","-762805.9123455717","-762805.9123455717"
"18","-960021.9525113484","-960021.9525113484","-960021.9525113484","-759052.3591798132","-759052.3591798132","-759052.3591798132"
"19","-960886.1949616403","-960886.1949616403","-960886.1949616403","-757375.8909487155","-757375.8909487155","-757375.8909487155"
"20","-957492.8663938097","-957492.8663938097","-957492.8663938097","-755923.6170697674","-755923.6170697674","-755923.6170697674"
"21","-956467.5373620287","-956467.5373620287","-956467.5373620287","-755535.233013953","-755535.233013953","-755535.233013953"
"22","-954865.4915701639","-954865.4915701639","-954865.4915701639","-756913.804038915","-756913.804038915","-756913.804038915"
"23","-954640.3122196916","-954640.3122196916","-954640.3122196916","-755554.1419511874","-755554.1419511874","-755554.1419511874"
"24","-955860.9425229847","-955860.9425229847","-955860.9425229847","-754752.4604917162","-754752.4604917162","-754752.4604917162"
"25","-955263.6055521579","-955263.6055521579","-955263.6055521579","-754040.6328938308","-754040.6328938308","-754040.6328938308"
"26","-954855.8850960315","-954855.8850960315","-954855.8850960315","-753977.1405724239","-753977.1405724239","-753977.1405724239"
"27","-953503.6200164706","-953503.6200164706","-953503.6200164706","-753079.1204479273","-753079.1204479273","-753079.1204479273"
"28","-952984.0323606442","-952984.0323606442","-952984.0323606442","-752194.2576709626","-752194.2576709626","-752194.2576709626"
"29","-951302.119368231","-951302.119368231","-951302.119368231","-752935.9366088143","-752935.9366088143","-752935.9366088143"
"30","-952230.5435374709","-952230.5435374709","-952230.5435374709","-753127.5096319278","-753127.5096319278","-753127.5096319278"
"31","-952207.1677788963","-952207.1677788963","-952207.1677788963","-753434.8623256332","-753434.8623256332","-753434.8623256332"
"32","-952269.7636740599","-952269.7636740599","-952269.7636740599","-753252.3307596147","-753252.3307596147","-753252.3307596147"
"33","-951980.1341720214","-951980.1341720214","-951980.1341720214","-753105.4038930747","-753105.4038930747","-753105.4038930747"
"34","-951162.618429073","-951162.618429073","-951162.618429073","-754185.9407989288","-754185.9407989288","-754185.9407989288"
"35","-950844.3206692599","-950844.3206692599","-950844.3206692599","-753801.0198328783","-753801.0198328783","-753801.0198328783"
"36","-950261.9455511346","-950261.9455511346","-950261.9455511346","-753730.6250378684","-753730.6250378684","-753730.6250378684"
"37","-950208.0675977798","-950208.0675977798","-950208.0675977798","-752799.8849187589","-752799.8849187589","-752799.8849187589"
"38","-948646.0462949967","-948646.0462949967","-948646.0462949967","-752731.8869336759","-752731.8869336759","-752731.8869336759"
"39","-948043.4928547277","-948043.4928547277","-948043.4928547277","-753577.9388917838","-753577.9388917838","-753577.9388917838"
"40","-947461.7896238526","-947461.7896238526","-947461.7896238526","-754321.912530055","-754321.912530055","-754321.912530055"
"41","-947108.1350201764","-947108.1350201764","-947108.1350201764","-755644.4774010152","-755644.4774010152","-755644.4774010152"
"42","-946774.5894620247","-946774.5894620247","-946774.5894620247","-756825.7842685129","-756825.7842685129","-756825.7842685129"
"43","-947230.0284505375","-947230.0284505375","-947230.0284505375","-757705.9117086533","-757705.9117086533","-757705.9117086533"
"44","-946867.0295568198","-946867.0295568198","-946867.0295568198","-757770.0515936727","-757770.0515936727","-757770.0515936727"
"45","-947667.020461657","-947667.020461657","-947667.020461657","-758433.4240994676","-758433.4240994676","-758433.4240994676"
"46","-946842.0581600214","-946842.0581600214","-946842.0581600214","-759214.0196672516","-759214.0196672516","-759214.0196672516"
"47","-946227.1663602401","-946227.1663602401","-946227.1663602401","-758979.2334576462","-758979.2334576462","-758979.2334576462"
"48","-945504.463013853","-945504.463013853","-945504.463013853","-758409.1304709299","-758409.1304709299","-758409.1304709299"
"49","-946113.4878650806","-946113.4878650806","-946113.4878650806","-758815.5035583408","-758815.5035583408","-758815.5035583408"
"50","-945880.8700290879","-945880.8700290879","-945880.8700290879","-758454.0059610581","-758454.0059610581","-758454.0059610581"
"51","-946663.5270876419","-946663.5270876419","-946663.5270876419","-759215.4778484148","-759215.4778484148","-759215.4778484148"
"52","-947129.6345858896","-947129.6345858896","-947129.6345858896","-759614.64465532","-759614.64465532","-759614.64465532"
"53","-947768.358555665","-947768.358555665","-947768.358555665","-760030.7310095652","-760030.7310095652","-760030.7310095652"
"54","-946873.5308932436","-946873.5308932436","-946873.5308932436","-760262.6161129422","-760262.6161129422","-760262.6161129422"
"55","-946224.0512247768","-946224.0512247768","-946224.0512247768","-760607.1824378639","-760607.1824378639","-760607.1824378639"
"56","-946220.283332578","-946220.283332578","-946220.283332578","-760201.6218211553","-760201.6218211553","-760201.6218211553"
"57","-946027.2628167106","-946027.2628167106","-946027.2628167106","-760353.0101275556","-760353.0101275556","-760353.0101275556"
