"Step","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-731707.3672493383","-731707.3672493383","-731707.3672493383","-735272.874147023","-735272.874147023","-735272.874147023"
"1","-720682.6630795808","-720682.6630795808","-720682.6630795808","-732972.2331287051","-732972.2331287051","-732972.2331287051"
"2","-705396.8440346994","-705396.8440346994","-705396.8440346994","-738592.1742997296","-738592.1742997296","-738592.1742997296"
"3","-703582.2248977365","-703582.2248977365","-703582.2248977365","-730693.8764274174","-730693.8764274174","-730693.8764274174"
"4","-707830.9130452577","-707830.9130452577","-707830.9130452577","-734667.5956410784","-734667.5956410784","-734667.5956410784"
"5","-716937.3421248724","-716937.3421248724","-716937.3421248724","-726939.9424801298","-726939.9424801298","-726939.9424801298"
"6","-724153.3996181014","-724153.3996181014","-724153.3996181014","-725401.9816989058","-725401.9816989058","-725401.9816989058"
"7","-724722.9565796335","-724722.9565796335","-724722.9565796335","-722497.353400075","-722497.353400075","-722497.353400075"
"8","-730834.8314170158","-730834.8314170158","-730834.8314170158","-716164.6172638022","-716164.6172638022","-716164.6172638022"
"9","-729527.1880679965","-729527.1880679965","-729527.1880679965","-707282.0904298153","-707282.0904298153","-707282.0904298153"
"10","-725878.7332623194","-725878.7332623194","-725878.7332623194","-701951.0178882797","-701951.0178882797","-701951.0178882797"
"11","-717634.1316775352","-717634.1316775352","-717634.1316775352","-695812.1748907245","-695812.1748907245","-695812.1748907245"
"12","-721608.7366185085","-721608.7366185085","-721608.7366185085","-692625.5242903247","-692625.5242903247","-692625.5242903247"
"13","-725525.8816718665","-725525.8816718665","-725525.8816718665","-689426.357676939","-689426.357676939","-689426.357676939"
"14","-727778.4415483618","-727778.4415483618","-727778.4415483618","-683919.6292330024","-683919.6292330024","-683919.6292330024"
"15","-723519.3086375523","-723519.3086375523","-723519.3086375523","-684340.0906946607","-684340.0906946607","-684340.0906946607"
"16","-722472.3976518447","-722472.3976518447","-722472.3976518447","-679256.5845089997","-679256.5845089997","-679256.5845089997"
"17","-721337.6953560713","-721337.6953560713","-721337.6953560713","-673864.0880287316","-673864.0880287316","-673864.0880287316"
"18","-717906.9522944046","-717906.9522944046","-717906.9522944046","-671383.2968428467","-671383.2968428467","-671383.2968428467"
"19","-714881.0782607567","-714881.0782607567","-714881.0782607567","-669399.590931476","-669399.590931476","-669399.590931476"
"20","-717142.3206526064","-717142.3206526064","-717142.3206526064","-664768.5704779064","-664768.5704779064","-664768.5704779064"
"21","-715779.9879496451","-715779.9879496451","-715779.9879496451","-661530.7445780181","-661530.7445780181","-661530.7445780181"
"22","-716768.3266772999","-716768.3266772999","-716768.3266772999","-656926.5396154186","-656926.5396154186","-656926.5396154186"
"23","-719972.3764294594","-719972.3764294594","-719972.3764294594","-653540.5538257082","-653540.5538257082","-653540.5538257082"
"24","-718817.9573197573","-718817.9573197573","-718817.9573197573","-648691.6422190825","-648691.6422190825","-648691.6422190825"
"25","-718845.7910523621","-718845.7910523621","-718845.7910523621","-646146.8837716252","-646146.8837716252","-646146.8837716252"
"26","-717270.7657169045","-717270.7657169045","-717270.7657169045","-643569.3883436333","-643569.3883436333","-643569.3883436333"
"27","-717557.8489340361","-717557.8489340361","-717557.8489340361","-642095.9931664277","-642095.9931664277","-642095.9931664277"
"28","-718789.1354250284","-718789.1354250284","-718789.1354250284","-639241.7445058167","-639241.7445058167","-639241.7445058167"
"29","-717599.0150390366","-717599.0150390366","-717599.0150390366","-636915.47871232","-636915.47871232","-636915.47871232"
"30","-716719.4466646601","-716719.4466646601","-716719.4466646601","-635831.2489845828","-635831.2489845828","-635831.2489845828"
"31","-717283.1941040694","-717283.1941040694","-717283.1941040694","-634501.188481813","-634501.188481813","-634501.188481813"
"32","-719336.7235351803","-719336.7235351803","-719336.7235351803","-632548.1463278248","-632548.1463278248","-632548.1463278248"
"33","-718328.9935840642","-718328.9935840642","-718328.9935840642","-630918.1914529145","-630918.1914529145","-630918.1914529145"
"34","-718112.4959062802","-718112.4959062802","-718112.4959062802","-630551.5503696584","-630551.5503696584","-630551.5503696584"
"35","-717590.6341341308","-717590.6341341308","-717590.6341341308","-629841.3697280451","-629841.3697280451","-629841.3697280451"
"36","-717167.1825669826","-717167.1825669826","-717167.1825669826","-629352.0314963531","-629352.0314963531","-629352.0314963531"
"37","-717744.1091257026","-717744.1091257026","-717744.1091257026","-627804.963600602","-627804.963600602","-627804.963600602"
"38","-716331.4560234362","-716331.4560234362","-716331.4560234362","-625491.6885227882","-625491.6885227882","-625491.6885227882"
"39","-716620.1708722592","-716620.1708722592","-716620.1708722592","-624740.7980256611","-624740.7980256611","-624740.7980256611"
"40","-716613.7834224395","-716613.7834224395","-716613.7834224395","-623454.5629270136","-623454.5629270136","-623454.5629270136"
"41","-714755.2790706606","-714755.2790706606","-714755.2790706606","-621879.788632176","-621879.788632176","-621879.788632176"
"42","-712951.8330463663","-712951.8330463663","-712951.8330463663","-621430.8479775568","-621430.8479775568","-621430.8479775568"
"43","-712356.2491778583","-712356.2491778583","-712356.2491778583","-620665.8552649646","-620665.8552649646","-620665.8552649646"
