"Step","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1768361.4132473387","-1768361.4132473387","-1768361.4132473387","-1760103.9918135514","-1760103.9918135514","-1760103.9918135514"
"1","-1801650.9536911456","-1801650.9536911456","-1801650.9536911456","-1805991.526226456","-1805991.526226456","-1805991.526226456"
"2","-1813764.7907170386","-1813764.7907170386","-1813764.7907170386","-1834607.4427108495","-1834607.4427108495","-1834607.4427108495"
"3","-1803109.4806372228","-1803109.4806372228","-1803109.4806372228","-1844535.9314805677","-1844535.9314805677","-1844535.9314805677"
"4","-1800788.2882016096","-1800788.2882016096","-1800788.2882016096","-1844657.1864203576","-1844657.1864203576","-1844657.1864203576"
"5","-1792060.0575767981","-1792060.0575767981","-1792060.0575767981","-1823897.5698544125","-1823897.5698544125","-1823897.5698544125"
"6","-1799416.6545956265","-1799416.6545956265","-1799416.6545956265","-1814813.34322856","-1814813.34322856","-1814813.34322856"
"7","-1801057.193527161","-1801057.193527161","-1801057.193527161","-1810043.6472162677","-1810043.6472162677","-1810043.6472162677"
"8","-1797882.90635774","-1797882.90635774","-1797882.90635774","-1799746.9980477314","-1799746.9980477314","-1799746.9980477314"
"9","-1792000.1408278283","-1792000.1408278283","-1792000.1408278283","-1792351.6040531355","-1792351.6040531355","-1792351.6040531355"
"10","-1787953.5223648173","-1787953.5223648173","-1787953.5223648173","-1782990.2806131877","-1782990.2806131877","-1782990.2806131877"
"11","-1791268.9866295056","-1791268.9866295056","-1791268.9866295056","-1775086.9061902026","-1775086.9061902026","-1775086.9061902026"
"12","-1788625.7185239417","-1788625.7185239417","-1788625.7185239417","-1764807.9617255218","-1764807.9617255218","-1764807.9617255218"
"13","-1790677.4361756092","-1790677.4361756092","-1790677.4361756092","-1757358.7804994506","-1757358.7804994506","-1757358.7804994506"
"14","-1789534.3949104443","-1789534.3949104443","-1789534.3949104443","-1749076.192628004","-1749076.192628004","-1749076.192628004"
"15","-1792554.0982689078","-1792554.0982689078","-1792554.0982689078","-1741749.191010189","-1741749.191010189","-1741749.191010189"
"16","-1793598.28001443","-1793598.28001443","-1793598.28001443","-1734724.511354764","-1734724.511354764","-1734724.511354764"
"17","-1794470.371420078","-1794470.371420078","-1794470.371420078","-1728756.830805476","-1728756.830805476","-1728756.830805476"
"18","-1795607.292920511","-1795607.292920511","-1795607.292920511","-1722565.6513609174","-1722565.6513609174","-1722565.6513609174"
"19","-1795041.0337896023","-1795041.0337896023","-1795041.0337896023","-1716878.5537078227","-1716878.5537078227","-1716878.5537078227"
"20","-1793879.821640144","-1793879.821640144","-1793879.821640144","-1713939.7363880784","-1713939.7363880784","-1713939.7363880784"
"21","-1794335.5034555173","-1794335.5034555173","-1794335.5034555173","-1711146.1724089424","-1711146.1724089424","-1711146.1724089424"
"22","-1791681.3676387595","-1791681.3676387595","-1791681.3676387595","-1706408.3040131307","-1706408.3040131307","-1706408.3040131307"
"23","-1791286.8064291414","-1791286.8064291414","-1791286.8064291414","-1703146.0433497385","-1703146.0433497385","-1703146.0433497385"
"24","-1789570.8438287731","-1789570.8438287731","-1789570.8438287731","-1700433.0798656421","-1700433.0798656421","-1700433.0798656421"
"25","-1787679.3479797565","-1787679.3479797565","-1787679.3479797565","-1696561.1488580292","-1696561.1488580292","-1696561.1488580292"
"26","-1788165.2707209561","-1788165.2707209561","-1788165.2707209561","-1693478.686497685","-1693478.686497685","-1693478.686497685"
"27","-1789996.7940673314","-1789996.7940673314","-1789996.7940673314","-1692187.2787251507","-1692187.2787251507","-1692187.2787251507"
"28","-1789310.716155641","-1789310.716155641","-1789310.716155641","-1690067.0027892352","-1690067.0027892352","-1690067.0027892352"
"29","-1788223.404280055","-1788223.404280055","-1788223.404280055","-1687471.4568732332","-1687471.4568732332","-1687471.4568732332"
"30","-1788870.690988531","-1788870.690988531","-1788870.690988531","-1684175.4475255867","-1684175.4475255867","-1684175.4475255867"
"31","-1786388.7565933382","-1786388.7565933382","-1786388.7565933382","-1679941.3378097517","-1679941.3378097517","-1679941.3378097517"
"32","-1786377.6791370055","-1786377.6791370055","-1786377.6791370055","-1676832.1821784934","-1676832.1821784934","-1676832.1821784934"
"33","-1786221.8384409542","-1786221.8384409542","-1786221.8384409542","-1674615.9936623122","-1674615.9936623122","-1674615.9936623122"
"34","-1785573.5825175752","-1785573.5825175752","-1785573.5825175752","-1672091.8645151546","-1672091.8645151546","-1672091.8645151546"
"35","-1788281.8828456318","-1788281.8828456318","-1788281.8828456318","-1669922.9312757165","-1669922.9312757165","-1669922.9312757165"
"36","-1785543.587578336","-1785543.587578336","-1785543.587578336","-1667858.181698857","-1667858.181698857","-1667858.181698857"
"37","-1784191.1134024595","-1784191.1134024595","-1784191.1134024595","-1665613.7971523155","-1665613.7971523155","-1665613.7971523155"
"38","-1782068.2958842618","-1782068.2958842618","-1782068.2958842618","-1663678.915647509","-1663678.915647509","-1663678.915647509"
"39","-1781770.409808632","-1781770.409808632","-1781770.409808632","-1661065.1776080746","-1661065.1776080746","-1661065.1776080746"
"40","-1780241.5304333903","-1780241.5304333903","-1780241.5304333903","-1660049.6220839692","-1660049.6220839692","-1660049.6220839692"
"41","-1780626.1847054674","-1780626.1847054674","-1780626.1847054674","-1659240.128806855","-1659240.128806855","-1659240.128806855"
"42","-1779712.0926896513","-1779712.0926896513","-1779712.0926896513","-1656792.3602732206","-1656792.3602732206","-1656792.3602732206"
"43","-1780345.151704897","-1780345.151704897","-1780345.151704897","-1654472.1154823469","-1654472.1154823469","-1654472.1154823469"
"44","-1779985.988017425","-1779985.988017425","-1779985.988017425","-1652462.3257303936","-1652462.3257303936","-1652462.3257303936"
"45","-1778724.8419710537","-1778724.8419710537","-1778724.8419710537","-1650092.192649529","-1650092.192649529","-1650092.192649529"
"46","-1778663.6219232827","-1778663.6219232827","-1778663.6219232827","-1648189.0554712748","-1648189.0554712748","-1648189.0554712748"
"47","-1778471.143068456","-1778471.143068456","-1778471.143068456","-1647201.9721441725","-1647201.9721441725","-1647201.9721441725"
"48","-1778870.3338985948","-1778870.3338985948","-1778870.3338985948","-1645709.6156401844","-1645709.6156401844","-1645709.6156401844"
"49","-1779139.3787065477","-1779139.3787065477","-1779139.3787065477","-1644845.14358985","-1644845.14358985","-1644845.14358985"
"50","-1778828.346821667","-1778828.346821667","-1778828.346821667","-1644205.692804056","-1644205.692804056","-1644205.692804056"
"51","-1778341.426445103","-1778341.426445103","-1778341.426445103","-1642934.9945824353","-1642934.9945824353","-1642934.9945824353"
"52","-1778052.3460748657","-1778052.3460748657","-1778052.3460748657","-1642136.7073618914","-1642136.7073618914","-1642136.7073618914"
"53","-1777505.3580131305","-1777505.3580131305","-1777505.3580131305","-1641249.9038020046","-1641249.9038020046","-1641249.9038020046"
"54","-1777095.9142625774","-1777095.9142625774","-1777095.9142625774","-1640454.523159769","-1640454.523159769","-1640454.523159769"
"55","-1777523.8206058636","-1777523.8206058636","-1777523.8206058636","-1638673.7345838286","-1638673.7345838286","-1638673.7345838286"
