"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - cost","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MIN","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MAX","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - cost","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MIN","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MAX"
"0","4092.044288848443","4092.044288848443","4092.044288848443","11354.564533100754","11354.564533100754","11354.564533100754","10449.991813551345","10449.991813551345","10449.991813551345","13621.87414702277","13621.87414702277","13621.87414702277"
"1","3902.8769188723777","3902.8769188723777","3902.8769188723777","11837.788722286568","11837.788722286568","11837.788722286568","10644.0262264562","10644.0262264562","10644.0262264562","13037.233128704682","13037.233128704682","13037.233128704682"
"2","4032.595648617633","4032.595648617633","4032.595648617633","12109.134379000825","12109.134379000825","12109.134379000825","10296.862329321928","10296.862329321928","10296.862329321928","13495.840966396036","13495.840966396036","13495.840966396036"
"3","4062.8671229795727","4062.8671229795727","4062.8671229795727","12158.988018407661","12158.988018407661","12158.988018407661","10098.884962130162","10098.884962130162","10098.884962130162","13519.376427417166","13519.376427417166","13519.376427417166"
"4","4102.0475347561605","4102.0475347561605","4102.0475347561605","12091.286255451758","12091.286255451758","12091.286255451758","10191.955517559876","10191.955517559876","10191.955517559876","13475.39564107834","13475.39564107834","13475.39564107834"
"5","4059.095094520064","4059.095094520064","4059.095094520064","12004.625854883954","12004.625854883954","12004.625854883954","10216.013195394622","10216.013195394622","10216.013195394622","13174.9424801297","13174.9424801297","13174.9424801297"
"6","4053.038957287326","4053.038957287326","4053.038957287326","11947.696425326327","11947.696425326327","11947.696425326327","10211.018860828963","10211.018860828963","10211.018860828963","12949.124556048626","12949.124556048626","12949.124556048626"
"7","4075.3564359560364","4075.3564359560364","4075.3564359560364","11904.820942540286","11904.820942540286","11904.820942540286","10146.575292523661","10146.575292523661","10146.575292523661","12740.603400074979","12740.603400074979","12740.603400074979"
"8","4028.6615670255437","4028.6615670255437","4028.6615670255437","11824.026822272739","11824.026822272739","11824.026822272739","10075.291118935485","10075.291118935485","10075.291118935485","12620.061708246662","12620.061708246662","12620.061708246662"
"9","3995.917149825279","3995.917149825279","3995.917149825279","11714.088547997972","11714.088547997972","11714.088547997972","9951.90567623848","9951.90567623848","9951.90567623848","12502.690429815373","12502.690429815373","12502.690429815373"
"10","4033.288218946688","4033.288218946688","4033.288218946688","11599.47089756908","11599.47089756908","11599.47089756908","9872.351998374106","9872.351998374106","9872.351998374106","12397.654251916229","12397.654251916229","12397.654251916229"
"11","4016.136038051116","4016.136038051116","4016.136038051116","11543.477361886065","11543.477361886065","11543.477361886065","9791.844697553652","9791.844697553652","9791.844697553652","12328.008224057914","12328.008224057914","12328.008224057914"
"12","4048.598193484737","4048.598193484737","4048.598193484737","11477.241679361457","11477.241679361457","11477.241679361457","9750.674335128044","9750.674335128044","9750.674335128044","12288.293521093949","12288.293521093949","12288.293521093949"
"13","4055.461365529382","4055.461365529382","4055.461365529382","11383.805304568223","11383.805304568223","11383.805304568223","9716.304840037596","9716.304840037596","9716.304840037596","12224.07196265336","12224.07196265336","12224.07196265336"
"14","4039.00363701971","4039.00363701971","4039.00363701971","11341.027120708355","11341.027120708355","11341.027120708355","9634.245480870655","9634.245480870655","9634.245480870655","12156.42923300254","12156.42923300254","12156.42923300254"
"15","4009.9163688430776","4009.9163688430776","4009.9163688430776","11296.677346586313","11296.677346586313","11296.677346586313","9580.71460153937","9580.71460153937","9580.71460153937","12137.965694660828","12137.965694660828","12137.965694660828"
"16","4000.7697465052293","4000.7697465052293","4000.7697465052293","11229.526524469211","11229.526524469211","11229.526524469211","9530.156644458768","9530.156644458768","9530.156644458768","12079.231567823459","12079.231567823459","12079.231567823459"
"17","4012.962918822104","4012.962918822104","4012.962918822104","11204.667357811115","11204.667357811115","11204.667357811115","9496.89238782088","9496.89238782088","9496.89238782088","12049.532473176321","12049.532473176321","12049.532473176321"
"18","4012.729973311732","4012.729973311732","4012.729973311732","11151.554292983583","11151.554292983583","11151.554292983583","9474.0150404424","9474.0150404424","9474.0150404424","12053.033684952139","12053.033684952139","12053.033684952139"
"19","3999.3707845287004","3999.3707845287004","3999.3707845287004","11128.160639920967","11128.160639920967","11128.160639920967","9457.989628342446","9457.989628342446","9457.989628342446","12016.040931476218","12016.040931476218","12016.040931476218"
"20","3997.915402716544","3997.915402716544","3997.915402716544","11108.140788960622","11108.140788960622","11108.140788960622","9462.154166539405","9462.154166539405","9462.154166539405","11973.665716001819","11973.665716001819","11973.665716001819"
"21","4005.4624685230065","4005.4624685230065","4005.4624685230065","11081.05399069917","11081.05399069917","11081.05399069917","9453.736810388396","9453.736810388396","9453.736810388396","11953.017305291041","11953.017305291041","11953.017305291041"
"22","4038.935660312767","4038.935660312767","4038.935660312767","11053.346911022494","11053.346911022494","11053.346911022494","9464.435372215856","9464.435372215856","9464.435372215856","11951.974398027576","11951.974398027576","11951.974398027576"
"23","4056.1003451295105","4056.1003451295105","4056.1003451295105","11027.751951437336","11027.751951437336","11027.751951437336","9485.816666624216","9485.816666624216","9485.816666624216","11941.928825708483","11941.928825708483","11941.928825708483"
"24","4069.1788067439147","4069.1788067439147","4069.1788067439147","11020.921895545735","11020.921895545735","11020.921895545735","9500.212213212848","9500.212213212848","9500.212213212848","11925.602219082632","11925.602219082632","11925.602219082632"
"25","4068.2957728724086","4068.2957728724086","4068.2957728724086","11007.024932941837","11007.024932941837","11007.024932941837","9511.143611398087","9511.143611398087","9511.143611398087","11893.19146393316","11893.19146393316","11893.19146393316"
"26","4073.7473157343707","4073.7473157343707","4073.7473157343707","10983.945503059907","10983.945503059907","10983.945503059907","9523.938925816894","9523.938925816894","9523.938925816894","11888.72167696677","11888.72167696677","11888.72167696677"
"27","4078.6354959378054","4078.6354959378054","4078.6354959378054","10966.825171741159","10966.825171741159","10966.825171741159","9535.062229786574","9535.062229786574","9535.062229786574","11882.81459499916","11882.81459499916","11882.81459499916"
"28","4099.922190456818","4099.922190456818","4099.922190456818","10952.45498492255","10952.45498492255","10952.45498492255","9545.835913183859","9545.835913183859","9545.835913183859","11875.089333403068","11875.089333403068","11875.089333403068"
"29","4112.703184465705","4112.703184465705","4112.703184465705","10931.523440687506","10931.523440687506","10931.523440687506","9563.666471646331","9563.666471646331","9563.666471646331","11867.012045653419","11867.012045653419","11867.012045653419"
"30","4110.404008938525","4110.404008938525","4110.404008938525","10907.754842383454","10907.754842383454","10907.754842383454","9567.858065761917","9567.858065761917","9567.858065761917","11867.378016841025","11867.378016841025","11867.378016841025"
"31","4115.515620673669","4115.515620673669","4115.515620673669","10881.547908526663","10881.547908526663","10881.547908526663","9577.987657788268","9577.987657788268","9577.987657788268","11866.875981813053","11866.875981813053","11866.875981813053"
"32","4107.331437154595","4107.331437154595","4107.331437154595","10867.66244040805","10867.66244040805","10867.66244040805","9588.795904374083","9588.795904374083","9588.795904374083","11869.812994491489","11869.812994491489","11869.812994491489"
"33","4093.4091521593327","4093.4091521593327","4093.4091521593327","10846.244060471068","10846.244060471068","10846.244060471068","9609.896948677993","9609.896948677993","9609.896948677993","11866.103217620448","11866.103217620448","11866.103217620448"
"34","4066.8644412206695","4066.8644412206695","4066.8644412206695","10838.335693367348","10838.335693367348","10838.335693367348","9619.899433134253","9619.899433134253","9619.899433134253","11873.464655372773","11873.464655372773","11873.464655372773"
"35","4042.5231535585826","4042.5231535585826","4042.5231535585826","10823.706921921543","10823.706921921543","10823.706921921543","9632.615600055862","9632.615600055862","9632.615600055862","11866.369728045107","11866.369728045107","11866.369728045107"
"36","4022.2271428183194","4022.2271428183194","4022.2271428183194","10810.544507764378","10810.544507764378","10810.544507764378","9636.86611309594","9636.86611309594","9636.86611309594","11871.842307164034","11871.842307164034","11871.842307164034"
"37","3997.473885042236","3997.473885042236","3997.473885042236","10800.852855076111","10800.852855076111","10800.852855076111","9655.657180423288","9655.657180423288","9655.657180423288","11861.068863760012","11861.068863760012","11861.068863760012"
"38","3974.8058237378355","3974.8058237378355","3974.8058237378355","10789.217657367699","10789.217657367699","10789.217657367699","9663.465679184364","9663.465679184364","9663.465679184364","11860.91929201903","11860.91929201903","11860.91929201903"
"39","3957.8970273299433","3957.8970273299433","3957.8970273299433","10790.907762500354","10790.907762500354","10790.907762500354","9670.03093397764","9670.03093397764","9670.03093397764","11862.848025661187","11862.848025661187","11862.848025661187"
"40","3960.745329490263","3960.745329490263","3960.745329490263","10785.78256939121","10785.78256939121","10785.78256939121","9683.214211278864","9683.214211278864","9683.214211278864","11856.123902623383","11856.123902623383","11856.123902623383"
"41","3958.092157306431","3958.092157306431","3958.092157306431","10771.458800513637","10771.458800513637","10771.458800513637","9687.051973172873","9687.051973172873","9687.051973172873","11842.002917890311","11842.002917890311","11842.002917890311"
"42","3941.158134925295","3941.158134925295","3941.158134925295","10758.64837421488","10758.64837421488","10758.64837421488","9698.113013138403","9698.113013138403","9698.113013138403","11845.429372905688","11845.429372905688","11845.429372905688"
"43","3944.012002166356","3944.012002166356","3944.012002166356","10759.64087244758","10759.64087244758","10759.64087244758","9697.768130299874","9697.768130299874","9697.768130299874","11846.787083146435","11846.787083146435","11846.787083146435"
"44","3928.4455543763297","3928.4455543763297","3928.4455543763297","10752.904146884086","10752.904146884086","10752.904146884086","9693.3218928154","9693.3218928154","9693.3218928154","11841.012265807962","11841.012265807962","11841.012265807962"
"45","3921.452055370139","3921.452055370139","3921.452055370139","10756.875469244978","10756.875469244978","10756.875469244978","9686.412051616946","9686.412051616946","9686.412051616946","11839.696401095262","11839.696401095262","11839.696401095262"
"46","3910.8574873358643","3910.8574873358643","3910.8574873358643","10751.091518908543","10751.091518908543","10751.091518908543","9676.811722948196","9676.811722948196","9676.811722948196","11835.973516963999","11835.973516963999","11835.973516963999"
"47","3893.976783071527","3893.976783071527","3893.976783071527","10745.484188444187","10745.484188444187","10745.484188444187","9671.375088730772","9671.375088730772","9671.375088730772","11835.753734840362","11835.753734840362","11835.753734840362"
"48","3876.030747353227","3876.030747353227","3876.030747353227","10734.164724662349","10734.164724662349","10734.164724662349","9661.847132327677","9661.847132327677","9661.847132327677","11825.253932104852","11825.253932104852","11825.253932104852"
"49","3855.5047925548115","3855.5047925548115","3855.5047925548115","10731.369806273577","10731.369806273577","10731.369806273577","9663.745889033793","9663.745889033793","9663.745889033793","11814.51883875063","11814.51883875063","11814.51883875063"
"50","3838.78465857816","3838.78465857816","3838.78465857816","10721.72056372205","10721.72056372205","10721.72056372205","9662.127348495625","9662.127348495625","9662.127348495625","11818.007100438615","11818.007100438615","11818.007100438615"
"51","3814.452148652095","3814.452148652095","3814.452148652095","10711.639399256548","10711.639399256548","10711.639399256548","9653.84599100876","9653.84599100876","9653.84599100876","11818.781470601389","11818.781470601389","11818.781470601389"
"52","3798.3538423167297","3798.3538423167297","3798.3538423167297","10704.423270487625","10704.423270487625","10704.423270487625","9644.676733590084","9644.676733590084","9644.676733590084","11821.28584618302","11821.28584618302","11821.28584618302"
"53","3784.6918976738634","3784.6918976738634","3784.6918976738634","10704.050074178784","10704.050074178784","10704.050074178784","9636.244497348749","9636.244497348749","9636.244497348749","11817.172540401962","11817.172540401962","11817.172540401962"
"54","3774.0830525445745","3774.0830525445745","3774.0830525445745","10699.672290360155","10699.672290360155","10699.672290360155","9626.275227890386","9626.275227890386","9626.275227890386","11813.603894808604","11813.603894808604","11813.603894808604"
"55","3771.335261946578","3771.335261946578","3771.335261946578","10696.320851689965","10696.320851689965","10696.320851689965","9625.629671557152","9625.629671557152","9625.629671557152","11811.604885952436","11811.604885952436","11811.604885952436"
"56","3761.0467457187806","3761.0467457187806","3761.0467457187806","10697.921007714267","10697.921007714267","10697.921007714267","9612.94884602227","9612.94884602227","9612.94884602227","11798.690160215885","11798.690160215885","11798.690160215885"
"57","3758.354137918667","3758.354137918667","3758.354137918667","10697.493253985593","10697.493253985593","10697.493253985593","9606.450510158344","9606.450510158344","9606.450510158344","11794.064848223346","11794.064848223346","11794.064848223346"
"58","3741.0295015203865","3741.0295015203865","3741.0295015203865","10688.646342306498","10688.646342306498","10688.646342306498","9599.681139193126","9599.681139193126","9599.681139193126","11794.867480459494","11794.867480459494","11794.867480459494"
"59","3728.4359026313946","3728.4359026313946","3728.4359026313946","10691.299437379417","10691.299437379417","10691.299437379417","9583.88483820218","9583.88483820218","9583.88483820218","11792.02447915658","11792.02447915658","11792.02447915658"
"60","3724.169835120523","3724.169835120523","3724.169835120523","10695.459021694187","10695.459021694187","10695.459021694187","9572.90400672582","9572.90400672582","9572.90400672582","11791.09650957218","11791.09650957218","11791.09650957218"
"61","3710.4542018880916","3710.4542018880916","3710.4542018880916","10684.28930043743","10684.28930043743","10684.28930043743","9560.890763955696","9560.890763955696","9560.890763955696","11786.127730421758","11786.127730421758","11786.127730421758"
"62","3699.2415701800746","3699.2415701800746","3699.2415701800746","10681.560553522353","10681.560553522353","10681.560553522353","9552.7104598095","9552.7104598095","9552.7104598095","11783.880748643716","11783.880748643716","11783.880748643716"
"63","3691.5922132469404","3691.5922132469404","3691.5922132469404","10674.998631150536","10674.998631150536","10674.998631150536","9547.306406398127","9547.306406398127","9547.306406398127","11781.470037639778","11781.470037639778","11781.470037639778"
"64","3682.7698243783957","3682.7698243783957","3682.7698243783957","10675.215225193271","10675.215225193271","10675.215225193271","9539.441302839154","9539.441302839154","9539.441302839154","11778.139739538214","11778.139739538214","11778.139739538214"
"65","3674.0099827177305","3674.0099827177305","3674.0099827177305","10670.559865607212","10670.559865607212","10670.559865607212","9532.339541371279","9532.339541371279","9532.339541371279","11778.331691200203","11778.331691200203","11778.331691200203"
"66","3661.5478696688406","3661.5478696688406","3661.5478696688406","10665.161340341409","10665.161340341409","10665.161340341409","9523.04053741508","9523.04053741508","9523.04053741508","11769.280791344478","11769.280791344478","11769.280791344478"
"67","3649.208084106263","3649.208084106263","3649.208084106263","10662.127499481338","10662.127499481338","10662.127499481338","9512.26827273862","9512.26827273862","9512.26827273862","11762.428434917216","11762.428434917216","11762.428434917216"
"68","3640.8500874584247","3640.8500874584247","3640.8500874584247","10658.96269869461","10658.96269869461","10658.96269869461","9509.777432109035","9509.777432109035","9509.777432109035","11762.510332437898","11762.510332437898","11762.510332437898"
"69","3631.5536761877393","3631.5536761877393","3631.5536761877393","10663.002105530919","10663.002105530919","10663.002105530919","9503.80851866836","9503.80851866836","9503.80851866836","11756.54616977644","11756.54616977644","11756.54616977644"
"70","3631.0791229704846","3631.0791229704846","3631.0791229704846","10655.125456245909","10655.125456245909","10655.125456245909","9498.260085572243","9498.260085572243","9498.260085572243","11763.669334548036","11763.669334548036","11763.669334548036"
"71","3619.2770574622427","3619.2770574622427","3619.2770574622427","10656.666573134486","10656.666573134486","10656.666573134486","9491.951093673888","9491.951093673888","9491.951093673888","11764.948962118457","11764.948962118457","11764.948962118457"
"72","3607.421365716089","3607.421365716089","3607.421365716089","10657.896034385067","10657.896034385067","10657.896034385067","9485.636515069413","9485.636515069413","9485.636515069413","11762.461744612332","11762.461744612332","11762.461744612332"
"73","3598.6396893346177","3598.6396893346177","3598.6396893346177","10661.862642357477","10661.862642357477","10661.862642357477","9479.33352309934","9479.33352309934","9479.33352309934","11760.244662998792","11760.244662998792","11760.244662998792"
"74","3593.9455976332833","3593.9455976332833","3593.9455976332833","10661.222274980242","10661.222274980242","10661.222274980242","9477.857893361122","9477.857893361122","9477.857893361122","11763.157855450234","11763.157855450234","11763.157855450234"
"75","3584.797956918101","3584.797956918101","3584.797956918101","10653.69008703816","10653.69008703816","10653.69008703816","9476.000553765454","9476.000553765454","9476.000553765454","11761.709443711543","11761.709443711543","11761.709443711543"
"76","3578.7939511877494","3578.7939511877494","3578.7939511877494","10657.297738967403","10657.297738967403","10657.297738967403","9468.05235332684","9468.05235332684","9468.05235332684","11757.313579613236","11757.313579613236","11757.313579613236"
"77","3574.329581214611","3574.329581214611","3574.329581214611","10659.416711638136","10659.416711638136","10659.416711638136","9461.184343556497","9461.184343556497","9461.184343556497","11759.523020085397","11759.523020085397","11759.523020085397"
"78","3567.6780084727893","3567.6780084727893","3567.6780084727893","10649.097964948414","10649.097964948414","10649.097964948414","9461.021864769991","9461.021864769991","9461.021864769991","11753.786546659592","11753.786546659592","11753.786546659592"
"79","3565.3220011546173","3565.3220011546173","3565.3220011546173","10644.938095410178","10644.938095410178","10644.938095410178","9456.424923653314","9456.424923653314","9456.424923653314","11758.62875037872","11758.62875037872","11758.62875037872"
"80","3561.1131067682713","3561.1131067682713","3561.1131067682713","10640.301252880987","10640.301252880987","10640.301252880987","9451.73851488057","9451.73851488057","9451.73851488057","11755.224779133343","11755.224779133343","11755.224779133343"
"81","3552.4794620330404","3552.4794620330404","3552.4794620330404","10635.429223504632","10635.429223504632","10635.429223504632","9445.0471809359","9445.0471809359","9445.0471809359","11754.472820103027","11754.472820103027","11754.472820103027"
"82","3542.4652646162017","3542.4652646162017","3542.4652646162017","10635.494604936863","10635.494604936863","10635.494604936863","9439.89838621483","9439.89838621483","9439.89838621483","11750.947697881398","11750.947697881398","11750.947697881398"
"83","3534.2818091064364","3534.2818091064364","3534.2818091064364","10634.831639265365","10634.831639265365","10634.831639265365","9433.987271854285","9433.987271854285","9433.987271854285","11748.938014095052","11748.938014095052","11748.938014095052"
"84","3533.9403710188967","3533.9403710188967","3533.9403710188967","10627.395656515982","10627.395656515982","10627.395656515982","9431.676004953335","9431.676004953335","9431.676004953335","11744.731331184626","11744.731331184626","11744.731331184626"
"85","3526.8753184880284","3526.8753184880284","3526.8753184880284","10628.262605094316","10628.262605094316","10628.262605094316","9430.746018918573","9430.746018918573","9430.746018918573","11738.999992785713","11738.999992785713","11738.999992785713"
"86","3523.999811202655","3523.999811202655","3523.999811202655","10622.043735161848","10622.043735161848","10622.043735161848","9424.30354574972","9424.30354574972","9424.30354574972","11735.375963979777","11735.375963979777","11735.375963979777"
"87","3517.327914378099","3517.327914378099","3517.327914378099","10622.176505839705","10622.176505839705","10622.176505839705","9425.105807583115","9425.105807583115","9425.105807583115","11735.832903793033","11735.832903793033","11735.832903793033"
"88","3516.3806112881193","3516.3806112881193","3516.3806112881193","10618.406628596145","10618.406628596145","10618.406628596145","9426.372363723678","9426.372363723678","9426.372363723678","11736.622354986215","11736.622354986215","11736.622354986215"
"89","3507.966843587734","3507.966843587734","3507.966843587734","10619.639744337564","10619.639744337564","10619.639744337564","9419.822986260373","9419.822986260373","9419.822986260373","11729.559553747704","11729.559553747704","11729.559553747704"
