"Step","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX"
"0","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1924754.5645331005","-1924754.5645331005","-1924754.5645331005","-2870649.9918135526","-2870649.9918135526","-2870649.9918135526","-1083421.8741470228","-1083421.8741470228","-1083421.8741470228"
"1","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-2014937.7887222858","-2014937.7887222858","-2014937.7887222858","-2915244.026226457","-2915244.026226457","-2915244.026226457","-1078937.6251403717","-1078937.6251403717","-1078937.6251403717"
"2","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-2047109.1343790004","-2047109.1343790004","-2047109.1343790004","-2955096.8623293224","-2955096.8623293224","-2955096.8623293224","-1087896.1291534796","-1087896.1291534796","-1087896.1291534796"
"3","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-2083208.9880184077","-2083208.9880184077","-2083208.9880184077","-2964798.884962131","-2964798.884962131","-2964798.884962131","-1080336.3531547538","-1080336.3531547538","-1080336.3531547538"
"4","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-2099611.286255452","-2099611.286255452","-2099611.286255452","-2958111.9555175607","-2958111.9555175607","-2958111.9555175607","-1084037.8637889477","-1084037.8637889477","-1084037.8637889477"
"5","-1411359.0950945204","-1411359.0950945204","-1411359.0950945204","-2102004.625854884","-2102004.625854884","-2102004.625854884","-2922016.0131953955","-2922016.0131953955","-2922016.0131953955","-1072322.760590854","-1072322.760590854","-1072322.760590854"
"6","-1382683.4095525257","-1382683.4095525257","-1382683.4095525257","-2098147.696425326","-2098147.696425326","-2098147.696425326","-2904011.0188608295","-2904011.0188608295","-2904011.0188608295","-1070384.4774446457","-1070384.4774446457","-1070384.4774446457"
"7","-1356403.1721743417","-1356403.1721743417","-1356403.1721743417","-2096679.8209425402","-2096679.8209425402","-2096679.8209425402","-2901321.5752925244","-2901321.5752925244","-2901321.5752925244","-1065487.226213102","-1065487.226213102","-1065487.226213102"
"8","-1337236.488257707","-1337236.488257707","-1337236.488257707","-2075890.6934889394","-2075890.6934889394","-2075890.6934889394","-2897941.9577856027","-2897941.9577856027","-2897941.9577856027","-1055755.9476220848","-1055755.9476220848","-1055755.9476220848"
"9","-1313321.0235169565","-1313321.0235169565","-1313321.0235169565","-2073014.0885479979","-2073014.0885479979","-2073014.0885479979","-2897871.905676239","-2897871.905676239","-2897871.905676239","-1045612.5047174835","-1045612.5047174835","-1045612.5047174835"
"10","-1298406.9605977836","-1298406.9605977836","-1298406.9605977836","-2063817.6527157507","-2063817.6527157507","-2063817.6527157507","-2894835.988362011","-2894835.988362011","-2894835.988362011","-1032938.1316848883","-1032938.1316848883","-1032938.1316848883"
"11","-1290870.9938073668","-1290870.9938073668","-1290870.9938073668","-2047593.4773618858","-2047593.4773618858","-2047593.4773618858","-2889741.844697554","-2889741.844697554","-2889741.844697554","-1022657.5904862812","-1022657.5904862812","-1022657.5904862812"
"12","-1285147.650021255","-1285147.650021255","-1285147.650021255","-2027431.0878332073","-2027431.0878332073","-2027431.0878332073","-2883704.5204889746","-2883704.5204889746","-2883704.5204889746","-1015899.6249651028","-1015899.6249651028","-1015899.6249651028"
