"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1011863.0442888482","-1011863.0442888482","-1011863.0442888482","-1217900.5645331","-1217900.5645331","-1217900.5645331","-1760103.9918135514","-1760103.9918135514","-1760103.9918135514","-735272.874147023","-735272.874147023","-735272.874147023"
"1","-916241.5943190804","-916241.5943190804","-916241.5943190804","-1281176.288722286","-1281176.288722286","-1281176.288722286","-1805991.526226456","-1805991.526226456","-1805991.526226456","-732972.2331287051","-732972.2331287051","-732972.2331287051"
"2","-915417.8082734788","-915417.8082734788","-915417.8082734788","-1299457.649998465","-1299457.649998465","-1299457.649998465","-1834607.4427108495","-1834607.4427108495","-1834607.4427108495","-738592.1742997296","-738592.1742997296","-738592.1742997296"
"3","-904260.9340665509","-904260.9340665509","-904260.9340665509","-1322789.1849929614","-1322789.1849929614","-1322789.1849929614","-1844535.9314805677","-1844535.9314805677","-1844535.9314805677","-730693.8764274174","-730693.8764274174","-730693.8764274174"
"4","-899678.3738101985","-899678.3738101985","-899678.3738101985","-1335436.7883547735","-1335436.7883547735","-1335436.7883547735","-1844657.1864203576","-1844657.1864203576","-1844657.1864203576","-734667.5956410784","-734667.5956410784","-734667.5956410784"
"5","-876111.9327193629","-876111.9327193629","-876111.9327193629","-1332528.1547255728","-1332528.1547255728","-1332528.1547255728","-1823897.5698544125","-1823897.5698544125","-1823897.5698544125","-726939.9424801298","-726939.9424801298","-726939.9424801298"
"6","-857375.191484948","-857375.191484948","-857375.191484948","-1326403.4525656735","-1326403.4525656735","-1326403.4525656735","-1814813.34322856","-1814813.34322856","-1814813.34322856","-725401.9816989058","-725401.9816989058","-725401.9816989058"
"7","-839861.0481174417","-839861.0481174417","-839861.0481174417","-1327229.8760850874","-1327229.8760850874","-1327229.8760850874","-1810043.6472162677","-1810043.6472162677","-1810043.6472162677","-722497.353400075","-722497.353400075","-722497.353400075"
"8","-826258.0734098305","-826258.0734098305","-826258.0734098305","-1321509.9556011052","-1321509.9556011052","-1321509.9556011052","-1799746.9980477314","-1799746.9980477314","-1799746.9980477314","-716164.6172638022","-716164.6172638022","-716164.6172638022"
"9","-809431.9217692128","-809431.9217692128","-809431.9217692128","-1324239.997982841","-1324239.997982841","-1324239.997982841","-1792351.6040531355","-1792351.6040531355","-1792351.6040531355","-707282.0904298153","-707282.0904298153","-707282.0904298153"
"10","-798619.8434023131","-798619.8434023131","-798619.8434023131","-1322825.8695112728","-1322825.8695112728","-1322825.8695112728","-1782990.2806131877","-1782990.2806131877","-1782990.2806131877","-701951.0178882797","-701951.0178882797","-701951.0178882797"
"11","-793223.8386708699","-793223.8386708699","-793223.8386708699","-1313480.4851354223","-1313480.4851354223","-1313480.4851354223","-1775086.9061902026","-1775086.9061902026","-1775086.9061902026","-695812.1748907245","-695812.1748907245","-695812.1748907245"
"12","-786995.8760677683","-786995.8760677683","-786995.8760677683","-1308194.8631128927","-1308194.8631128927","-1308194.8631128927","-1764807.9617255218","-1764807.9617255218","-1764807.9617255218","-692625.5242903247","-692625.5242903247","-692625.5242903247"
"13","-779377.5806365929","-779377.5806365929","-779377.5806365929","-1298943.6760473668","-1298943.6760473668","-1298943.6760473668","-1757358.7804994506","-1757358.7804994506","-1757358.7804994506","-689426.357676939","-689426.357676939","-689426.357676939"
"14","-774398.6336226815","-774398.6336226815","-774398.6336226815","-1293425.3723616384","-1293425.3723616384","-1293425.3723616384","-1749076.192628004","-1749076.192628004","-1749076.192628004","-683919.6292330024","-683919.6292330024","-683919.6292330024"
"15","-771372.1255569913","-771372.1255569913","-771372.1255569913","-1287322.3632316869","-1287322.3632316869","-1287322.3632316869","-1741749.191010189","-1741749.191010189","-1741749.191010189","-684340.0906946607","-684340.0906946607","-684340.0906946607"
"16","-766666.7330541044","-766666.7330541044","-766666.7330541044","-1284480.2133200339","-1284480.2133200339","-1284480.2133200339","-1734724.511354764","-1734724.511354764","-1734724.511354764","-679256.5845089997","-679256.5845089997","-679256.5845089997"
"17","-762805.9123455717","-762805.9123455717","-762805.9123455717","-1284385.5692761021","-1284385.5692761021","-1284385.5692761021","-1728756.830805476","-1728756.830805476","-1728756.830805476","-673864.0880287316","-673864.0880287316","-673864.0880287316"
"18","-759052.3591798132","-759052.3591798132","-759052.3591798132","-1282477.703077358","-1282477.703077358","-1282477.703077358","-1722565.6513609174","-1722565.6513609174","-1722565.6513609174","-671383.2968428467","-671383.2968428467","-671383.2968428467"
"19","-757375.8909487155","-757375.8909487155","-757375.8909487155","-1283479.514497452","-1283479.514497452","-1283479.514497452","-1716878.5537078227","-1716878.5537078227","-1716878.5537078227","-669399.590931476","-669399.590931476","-669399.590931476"
"20","-755923.6170697674","-755923.6170697674","-755923.6170697674","-1284829.758240552","-1284829.758240552","-1284829.758240552","-1713939.7363880784","-1713939.7363880784","-1713939.7363880784","-664768.5704779064","-664768.5704779064","-664768.5704779064"
"21","-755535.233013953","-755535.233013953","-755535.233013953","-1287163.9884968596","-1287163.9884968596","-1287163.9884968596","-1711146.1724089424","-1711146.1724089424","-1711146.1724089424","-661530.7445780181","-661530.7445780181","-661530.7445780181"
"22","-756913.804038915","-756913.804038915","-756913.804038915","-1290082.56961665","-1290082.56961665","-1290082.56961665","-1706408.3040131307","-1706408.3040131307","-1706408.3040131307","-656926.5396154186","-656926.5396154186","-656926.5396154186"
"23","-755554.1419511874","-755554.1419511874","-755554.1419511874","-1291790.151984975","-1291790.151984975","-1291790.151984975","-1703146.0433497385","-1703146.0433497385","-1703146.0433497385","-653540.5538257082","-653540.5538257082","-653540.5538257082"
"24","-754752.4604917162","-754752.4604917162","-754752.4604917162","-1293632.343877112","-1293632.343877112","-1293632.343877112","-1700433.0798656421","-1700433.0798656421","-1700433.0798656421","-648691.6422190825","-648691.6422190825","-648691.6422190825"
"25","-754040.6328938308","-754040.6328938308","-754040.6328938308","-1296158.237409557","-1296158.237409557","-1296158.237409557","-1696561.1488580292","-1696561.1488580292","-1696561.1488580292","-646146.8837716252","-646146.8837716252","-646146.8837716252"
"26","-753977.1405724239","-753977.1405724239","-753977.1405724239","-1299583.0198000844","-1299583.0198000844","-1299583.0198000844","-1693478.686497685","-1693478.686497685","-1693478.686497685","-643569.3883436333","-643569.3883436333","-643569.3883436333"
"27","-753079.1204479273","-753079.1204479273","-753079.1204479273","-1301743.935655862","-1301743.935655862","-1301743.935655862","-1692187.2787251507","-1692187.2787251507","-1692187.2787251507","-642095.9931664277","-642095.9931664277","-642095.9931664277"
"28","-752194.2576709626","-752194.2576709626","-752194.2576709626","-1305396.9399509577","-1305396.9399509577","-1305396.9399509577","-1690067.0027892352","-1690067.0027892352","-1690067.0027892352","-639241.7445058167","-639241.7445058167","-639241.7445058167"
"29","-752935.9366088143","-752935.9366088143","-752935.9366088143","-1306609.2064652962","-1306609.2064652962","-1306609.2064652962","-1687471.4568732332","-1687471.4568732332","-1687471.4568732332","-636915.47871232","-636915.47871232","-636915.47871232"
"30","-753127.5096319278","-753127.5096319278","-753127.5096319278","-1307287.2593965016","-1307287.2593965016","-1307287.2593965016","-1684175.4475255867","-1684175.4475255867","-1684175.4475255867","-635831.2489845828","-635831.2489845828","-635831.2489845828"
"31","-753434.8623256332","-753434.8623256332","-753434.8623256332","-1308989.4254835846","-1308989.4254835846","-1308989.4254835846","-1679941.3378097517","-1679941.3378097517","-1679941.3378097517","-634501.188481813","-634501.188481813","-634501.188481813"
