"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - cost__MAX","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - cost__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - cost__MAX"
"0","4092.044288848443","4092.044288848443","4092.044288848443","4092.044288848443","4092.044288848443","4092.044288848443","3923.234705192308","3923.234705192308","3923.234705192308","4092.044288848443","4092.044288848443","4092.044288848443"
"1","3902.8769188723777","3902.8769188723777","3902.8769188723777","3902.8769188723777","3902.8769188723777","3902.8769188723777","3973.2462851150412","3973.2462851150412","3973.2462851150412","3903.094319080711","3903.094319080711","3903.094319080711"
"2","4032.595648617633","4032.595648617633","4032.595648617633","4032.595648617633","4032.595648617633","4032.595648617633","4001.724047892836","4001.724047892836","4001.724047892836","4044.8082734787436","4044.8082734787436","4044.8082734787436"
"3","4062.8671229795727","4062.8671229795727","4062.8671229795727","4062.8671229795727","4062.8671229795727","4062.8671229795727","3971.8463684680423","3971.8463684680423","3971.8463684680423","4092.434066551001","4092.434066551001","4092.434066551001"
"4","4102.0475347561605","4102.0475347561605","4102.0475347561605","4102.0475347561605","4102.0475347561605","4102.0475347561605","3982.7509798477563","3982.7509798477563","3982.7509798477563","4159.373810198468","4159.373810198468","4159.373810198468"
"5","4059.095094520064","4059.095094520064","4059.095094520064","4059.095094520064","4059.095094520064","4059.095094520064","4072.9659466485427","4072.9659466485427","4072.9659466485427","4156.932719362859","4156.932719362859","4156.932719362859"
"6","4053.038957287326","4053.038957287326","4053.038957287326","4054.8381239539926","4054.8381239539926","4054.8381239539926","4137.879255977921","4137.879255977921","4137.879255977921","4123.620056376644","4123.620056376644","4123.620056376644"
"7","4075.3564359560364","4075.3564359560364","4075.3564359560364","4078.172174341453","4078.172174341453","4078.172174341453","4172.085981823359","4172.085981823359","4172.085981823359","4155.173117441698","4155.173117441698","4155.173117441698"
"8","4028.6615670255437","4028.6615670255437","4028.6615670255437","4036.488257706761","4036.488257706761","4036.488257706761","4137.0218714999355","4137.0218714999355","4137.0218714999355","4128.962298719301","4128.962298719301","4128.962298719301"
"9","3995.917149825279","3995.917149825279","3995.917149825279","4001.0235169562316","4001.0235169562316","4001.0235169562316","4104.690407868944","4104.690407868944","4104.690407868944","4044.721769212755","4044.721769212755","4044.721769212755"
"10","4033.288218946688","4033.288218946688","4033.288218946688","4043.3242341469045","4043.3242341469045","4043.3242341469045","4135.623553967671","4135.623553967671","4135.623553967671","4073.9343114039175","4073.9343114039175","4073.9343114039175"
"11","4016.136038051116","4016.136038051116","4016.136038051116","4020.993807366592","4020.993807366592","4020.993807366592","4139.941671609043","4139.941671609043","4139.941671609043","4036.9220042032443","4036.9220042032443","4036.9220042032443"
"12","4048.598193484737","4048.598193484737","4048.598193484737","4055.3423289471907","4055.3423289471907","4055.3423289471907","4112.617409214864","4112.617409214864","4112.617409214864","4087.7222216144905","4087.7222216144905","4087.7222216144905"
"13","4055.461365529382","4055.461365529382","4055.461365529382","4049.855224857613","4049.855224857613","4049.855224857613","4115.827813593245","4115.827813593245","4115.827813593245","4106.366350878675","4106.366350878675","4106.366350878675"
"14","4039.00363701971","4039.00363701971","4039.00363701971","4038.649328733996","4038.649328733996","4038.649328733996","4090.8863149901285","4090.8863149901285","4090.8863149901285","4089.966956014825","4089.966956014825","4089.966956014825"
"15","4009.9163688430776","4009.9163688430776","4009.9163688430776","4011.6818201191195","4011.6818201191195","4011.6818201191195","4068.7804421314368","4068.7804421314368","4068.7804421314368","4080.000556991335","4080.000556991335","4080.000556991335"
"16","4000.7697465052293","4000.7697465052293","4000.7697465052293","3991.3646054513074","3991.3646054513074","3991.3646054513074","4105.482030078776","4105.482030078776","4105.482030078776","4076.027171751545","4076.027171751545","4076.027171751545"
"17","4012.962918822104","4012.962918822104","4012.962918822104","3975.6602415852267","3975.6602415852267","3975.6602415852267","4109.697348606232","4109.697348606232","4109.697348606232","4073.523456682877","4073.523456682877","4073.523456682877"
"18","4012.729973311732","4012.729973311732","4012.729973311732","3980.4350600647654","3980.4350600647654","3980.4350600647654","4083.6367218746823","4083.6367218746823","4083.6367218746823","4085.4118113923355","4085.4118113923355","4085.4118113923355"
"19","3999.3707845287004","3999.3707845287004","3999.3707845287004","3972.1716218564566","3972.1716218564566","3972.1716218564566","4067.044961640214","4067.044961640214","4067.044961640214","4089.3909487156902","4089.3909487156902","4089.3909487156902"
"20","3997.915402716544","3997.915402716544","3997.915402716544","3954.388346346382","3954.388346346382","3954.388346346382","4068.485441428695","4068.485441428695","4068.485441428695","4071.140879291442","4071.140879291442","4071.140879291442"
"21","4005.4624685230065","4005.4624685230065","4005.4624685230065","3958.407958728819","3958.407958728819","3958.407958728819","4061.4009983924216","4061.4009983924216","4061.4009983924216","4084.0511957713024","4084.0511957713024","4084.0511957713024"
"22","4038.935660312767","4038.935660312767","4038.935660312767","3975.316508154559","3975.316508154559","3975.316508154559","4050.3176571203157","4050.3176571203157","4050.3176571203157","4087.543169349957","4087.543169349957","4087.543169349957"
"23","4056.1003451295105","4056.1003451295105","4056.1003451295105","3997.3651337522374","3997.3651337522374","3997.3651337522374","4064.437219691519","4064.437219691519","4064.437219691519","4092.600284520939","4092.600284520939","4092.600284520939"
"24","4069.1788067439147","4069.1788067439147","4069.1788067439147","3998.8047904623004","3998.8047904623004","3998.8047904623004","4047.702522984611","4047.702522984611","4047.702522984611","4093.260491716417","4093.260491716417","4093.260491716417"
"25","4068.2957728724086","4068.2957728724086","4068.2957728724086","3982.6161852065406","3982.6161852065406","3982.6161852065406","4044.951706003836","4044.951706003836","4044.951706003836","4094.709816907984","4094.709816907984","4094.709816907984"
"26","4073.7473157343707","4073.7473157343707","4073.7473157343707","3971.8353748065592","3971.8353748065592","3971.8353748065592","4038.662873809119","4038.662873809119","4038.662873809119","4101.65909094268","4101.65909094268","4101.65909094268"
"27","4078.6354959378054","4078.6354959378054","4078.6354959378054","3960.3568710365153","3960.3568710365153","3960.3568710365153","4021.905730756171","4021.905730756171","4021.905730756171","4101.51330507047","4101.51330507047","4101.51330507047"
"28","4099.922190456818","4099.922190456818","4099.922190456818","3928.553080864383","3928.553080864383","3928.553080864383","4030.0668434026893","4030.0668434026893","4030.0668434026893","4095.016291652522","4095.016291652522","4095.016291652522"
"29","4112.703184465705","4112.703184465705","4112.703184465705","3914.64665821099","3914.64665821099","3914.64665821099","4019.2860348976164","4019.2860348976164","4019.2860348976164","4097.036608814624","4097.036608814624","4097.036608814624"
"30","4110.404008938525","4110.404008938525","4110.404008938525","3897.8612867597685","3897.8612867597685","3897.8612867597685","4030.156440696515","4030.156440696515","4030.156440696515","4099.638664186215","4099.638664186215","4099.638664186215"
"31","4115.515620673669","4115.515620673669","4115.515620673669","3895.549789005242","3895.549789005242","3895.549789005242","4028.511528896156","4028.511528896156","4028.511528896156","4104.487325633491","4104.487325633491","4104.487325633491"
"32","4107.331437154595","4107.331437154595","4107.331437154595","3876.6126672307955","3876.6126672307955","3876.6126672307955","4048.1879164841","4048.1879164841","4048.1879164841","4096.270153554438","4096.270153554438","4096.270153554438"
