"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","neutral_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","resistant_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MIN","receptive_train_env_t05_d07_A2C_100_100_1000_RUN - cost__MAX"
"0","4092.044288848443","4092.044288848443","4092.044288848443","11354.564533100754","11354.564533100754","11354.564533100754","10449.991813551345","10449.991813551345","10449.991813551345","13621.87414702277","13621.87414702277","13621.87414702277"
"1","3902.8769188723777","3902.8769188723777","3902.8769188723777","11837.788722286568","11837.788722286568","11837.788722286568","10644.0262264562","10644.0262264562","10644.0262264562","13037.625140371349","13037.625140371349","13037.625140371349"
"2","4032.595648617633","4032.595648617633","4032.595648617633","12109.134379000825","12109.134379000825","12109.134379000825","10296.862329321928","10296.862329321928","10296.862329321928","13496.129153479369","13496.129153479369","13496.129153479369"
"3","4062.8671229795727","4062.8671229795727","4062.8671229795727","12158.988018407661","12158.988018407661","12158.988018407661","10098.884962130162","10098.884962130162","10098.884962130162","13536.353154753477","13536.353154753477","13536.353154753477"
"4","4102.0475347561605","4102.0475347561605","4102.0475347561605","12091.286255451758","12091.286255451758","12091.286255451758","10191.955517559876","10191.955517559876","10191.955517559876","13517.863788947387","13517.863788947387","13517.863788947387"
"5","4059.095094520064","4059.095094520064","4059.095094520064","12004.625854883954","12004.625854883954","12004.625854883954","10216.013195394622","10216.013195394622","10216.013195394622","13222.760590853904","13222.760590853904","13222.760590853904"
"6","4053.038957287326","4053.038957287326","4053.038957287326","11947.696425326327","11947.696425326327","11947.696425326327","10204.361765843843","10204.361765843843","10204.361765843843","13013.048873216992","13013.048873216992","13013.048873216992"
"7","4075.3564359560364","4075.3564359560364","4075.3564359560364","11904.820942540286","11904.820942540286","11904.820942540286","10166.053104828348","10166.053104828348","10166.053104828348","12862.226213101821","12862.226213101821","12862.226213101821"
"8","4028.6615670255437","4028.6615670255437","4028.6615670255437","11825.096323106072","11825.096323106072","11825.096323106072","10181.038321845537","10181.038321845537","10181.038321845537","12822.614288751343","12822.614288751343","12822.614288751343"
"9","3995.917149825279","3995.917149825279","3995.917149825279","11755.478182047193","11755.478182047193","11755.478182047193","10151.525002433535","10151.525002433535","10151.525002433535","12772.504717483414","12772.504717483414","12772.504717483414"
"10","4033.288218946688","4033.288218946688","4033.288218946688","11700.370564155617","11700.370564155617","11700.370564155617","10125.408631573408","10125.408631573408","10125.408631573408","12719.94986670644","12719.94986670644","12719.94986670644"
"11","4016.136038051116","4016.136038051116","4016.136038051116","11663.832793747424","11663.832793747424","11663.832793747424","10064.749467212536","10064.749467212536","10064.749467212536","12707.590486281239","12707.590486281239","12707.590486281239"
"12","4048.598193484737","4048.598193484737","4048.598193484737","11614.861289587046","11614.861289587046","11614.861289587046","10015.33535749174","10015.33535749174","10015.33535749174","12699.624965102792","12699.624965102792","12699.624965102792"
"13","4055.461365529382","4055.461365529382","4055.461365529382","11615.598471995778","11615.598471995778","11615.598471995778","9975.685152201148","9975.685152201148","9975.685152201148","12711.889825540073","12711.889825540073","12711.889825540073"
"14","4039.00363701971","4039.00363701971","4039.00363701971","11635.356744620898","11635.356744620898","11635.356744620898","9893.037768795095","9893.037768795095","9893.037768795095","12700.878284372096","12700.878284372096","12700.878284372096"
