"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1661292.0442888488","-1005138.234705192","-1005138.234705192","-1005138.234705192","-1011863.0442888482","-1011863.0442888482","-1011863.0442888482"
"1","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-1495502.8769188724","-967889.2462851147","-967889.2462851147","-967889.2462851147","-916241.5943190804","-916241.5943190804","-916241.5943190804"
"2","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-1492832.5956486177","-967767.3907145592","-967767.3907145592","-967767.3907145592","-915417.8082734788","-915417.8082734788","-915417.8082734788"
"3","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-1471212.8671229798","-970319.5963684679","-970319.5963684679","-970319.5963684679","-904260.9340665509","-904260.9340665509","-904260.9340665509"
"4","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-1450822.0475347564","-970756.9509798478","-970756.9509798478","-970756.9509798478","-899678.3738101985","-899678.3738101985","-899678.3738101985"
"5","-1410959.0950945204","-1410959.0950945204","-1410959.0950945204","-1411359.0950945204","-1411359.0950945204","-1411359.0950945204","-964011.7992799819","-964011.7992799819","-964011.7992799819","-876111.9327193629","-876111.9327193629","-876111.9327193629"
"6","-1381995.8961001446","-1381995.8961001446","-1381995.8961001446","-1382683.4095525257","-1382683.4095525257","-1382683.4095525257","-975472.7363988351","-975472.7363988351","-975472.7363988351","-857375.191484948","-857375.191484948","-857375.191484948"
"7","-1355650.356435956","-1355650.356435956","-1355650.356435956","-1356403.1721743417","-1356403.1721743417","-1356403.1721743417","-973959.3359818235","-973959.3359818235","-973959.3359818235","-839861.0481174417","-839861.0481174417","-839861.0481174417"
"8","-1336561.9949003588","-1336561.9949003588","-1336561.9949003588","-1337236.488257707","-1337236.488257707","-1337236.488257707","-972203.1329826112","-972203.1329826112","-972203.1329826112","-826258.0734098305","-826258.0734098305","-826258.0734098305"
"9","-1313615.9171498255","-1313615.9171498255","-1313615.9171498255","-1313321.0235169565","-1313321.0235169565","-1313321.0235169565","-971278.4904078692","-971278.4904078692","-971278.4904078692","-809431.9217692128","-809431.9217692128","-809431.9217692128"
"10","-1298451.4700371285","-1298451.4700371285","-1298451.4700371285","-1298406.9605977836","-1298406.9605977836","-1298406.9605977836","-965966.1690085134","-965966.1690085134","-965966.1690085134","-798619.8434023131","-798619.8434023131","-798619.8434023131"
