,Unnamed: 0,Year,Month,DayOfYear,Date,Weekday,Hour,Price ($ per MWh),Price (cents per kWh)
8592,8592,2018,12,359,2018-12-25,2,1,25.977500000000003,2.5977500000000004
8593,8593,2018,12,359,2018-12-25,2,2,27.47,2.747
8594,8594,2018,12,359,2018-12-25,2,3,28.20583333333333,2.820583333333333
8595,8595,2018,12,359,2018-12-25,2,4,26.63083333333333,2.663083333333333
8596,8596,2018,12,359,2018-12-25,2,5,29.77833333333333,2.9778333333333333
8597,8597,2018,12,359,2018-12-25,2,6,29.008333333333336,2.900833333333334
8598,8598,2018,12,359,2018-12-25,2,7,27.54583333333333,2.7545833333333336
8599,8599,2018,12,359,2018-12-25,2,8,25.69333333333333,2.569333333333333
8600,8600,2018,12,359,2018-12-25,2,9,26.344166666666663,2.634416666666666
8601,8601,2018,12,359,2018-12-25,2,10,26.0275,2.6027500000000003
8602,8602,2018,12,359,2018-12-25,2,11,28.361666666666668,2.836166666666667
8603,8603,2018,12,359,2018-12-25,2,12,22.98333333333333,2.2983333333333333
8604,8604,2018,12,359,2018-12-25,2,13,27.65833333333333,2.765833333333333
8605,8605,2018,12,359,2018-12-25,2,14,32.70666666666667,3.270666666666667
8606,8606,2018,12,359,2018-12-25,2,15,29.249166666666667,2.924916666666667
8607,8607,2018,12,359,2018-12-25,2,16,36.223333333333336,3.6223333333333336
8608,8608,2018,12,359,2018-12-25,2,17,48.67333333333334,4.867333333333335
8609,8609,2018,12,359,2018-12-25,2,18,27.328333333333333,2.7328333333333337
8610,8610,2018,12,359,2018-12-25,2,19,27.49,2.749
8611,8611,2018,12,359,2018-12-25,2,20,31.47083333333333,3.147083333333333
8612,8612,2018,12,359,2018-12-25,2,21,30.501666666666665,3.0501666666666667
8613,8613,2018,12,359,2018-12-25,2,22,54.9775,5.49775
8614,8614,2018,12,359,2018-12-25,2,23,39.994166666666665,3.999416666666667
8615,8615,2018,12,360,2018-12-26,3,0,18.363333333333333,1.8363333333333332
8616,8616,2018,12,360,2018-12-26,3,1,21.5625,2.15625
8617,8617,2018,12,360,2018-12-26,3,2,24.444166666666664,2.4444166666666667
8618,8618,2018,12,360,2018-12-26,3,3,27.331666666666667,2.733166666666667
8619,8619,2018,12,360,2018-12-26,3,4,26.55,2.655
8620,8620,2018,12,360,2018-12-26,3,5,26.175833333333333,2.6175833333333336
8621,8621,2018,12,360,2018-12-26,3,6,24.09166666666667,2.409166666666667
8622,8622,2018,12,360,2018-12-26,3,7,29.43583333333333,2.9435833333333337
8623,8623,2018,12,360,2018-12-26,3,8,26.69,2.6690000000000005
8624,8624,2018,12,360,2018-12-26,3,9,30.85166666666667,3.0851666666666677
8625,8625,2018,12,360,2018-12-26,3,10,46.4275,4.64275
