episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/grad_gnorm,info/learner/default_policy/vf_explained_var,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/var_gnorm,info/learner/default_policy/learner_stats/vf_loss
-559125.1054484426,-559125.1054484426,-559125.1054484426,336.0,1,0,0,0,0,336,336,336,336,336,336,336,336,336,False,1,1,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-02,1711724942,2.007413625717163,2.007413625717163,165225,mmlabaimensgpuserver,195.251.234.24,2.007413625717163,0,1,2.999915361404419,336,336,336,336,-559125.1054484426,-559125.1054484426,-559125.1054484426,336.0,1,0,[-559125.1054484426],[336],0.15826253579702856,5.208948599478611,0.14770703075193864,0.2684239463919348,0.0,0.014185905456542969,0.0027179718017578125,0.05977153778076172,2007.179,54.52,6162.888,0.262,336,336,336,336,5.966666666666666,10.833333333333334,[-559125.1054484426],[336],0.15826253579702856,5.208948599478611,0.14770703075193864,0.2684239463919348,0.0,0.014185905456542969,0.0027179718017578125,0.05977153778076172,39.999996,0.0,336,1,0,0.0010000000474974513,0.009999999776482582,-498514200.0,4227.882,22.627459,2750551700000.0
-439268.71239131974,-559125.1054484426,-499196.9089198812,336.0,1,0,0,0,0,672,672,672,672,336,336,672,336,672,False,2,2,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-04,1711724944,1.9704351425170898,3.977848768234253,165225,mmlabaimensgpuserver,195.251.234.24,3.977848768234253,0,2,2.999915361404419,672,672,672,672,-439268.71239131974,-559125.1054484426,-499196.9089198812,336.0,1,0,"[-559125.1054484426, -439268.71239131974]","[336, 336]",0.15888281400155108,5.211639206982193,0.1477891360509075,0.2689726725318904,0.0,0.014376640319824219,0.0027179718017578125,0.060558319091796875,1988.69,36.545,9194.045,0.2,672,672,672,672,6.466666666666666,10.966666666666667,"[-559125.1054484426, -439268.71239131974]","[336, 336]",0.15888281400155108,5.211639206982193,0.1477891360509075,0.2689726725318904,0.0,0.014376640319824219,0.0027179718017578125,0.060558319091796875,40.0,-5.4836273e-06,336,2,0.0,0.0010000000474974513,0.009999999776482582,-494656740.0,5404.1606,22.628181,1683435800000.0
-275573.90661837894,-559125.1054484426,-424655.90815271373,336.0,1,0,0,0,0,1008,1008,1008,1008,336,336,1008,336,1008,False,3,3,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-06,1711724946,1.966844081878662,5.944692850112915,165225,mmlabaimensgpuserver,195.251.234.24,5.944692850112915,0,3,2.999915361404419,1008,1008,1008,1008,-275573.90661837894,-559125.1054484426,-424655.90815271373,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894]","[336, 336, 336]",0.15891759241988226,5.212316028655755,0.1477628747543911,0.2691567018472079,0.0,0.014829635620117188,0.0027418136596679688,0.06058216094970703,1981.329,30.68,10951.696,0.181,1008,1008,1008,1008,5.833333333333333,11.033333333333333,"[-559125.1054484426, -439268.71239131974, -275573.90661837894]","[336, 336, 336]",0.15891759241988226,5.212316028655755,0.1477628747543911,0.2691567018472079,0.0,0.014829635620117188,0.0027418136596679688,0.06058216094970703,40.0,-1.8715858e-05,336,3,0.0,0.0010000000474974513,0.009999999776482582,-342102180.0,5855.212,22.631775,670499340000.0
-266976.2134107319,-559125.1054484426,-385235.9844672183,336.0,1,0,0,0,0,1344,1344,1344,1344,336,336,1344,336,1344,False,4,4,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-08,1711724948,1.9452240467071533,7.889916896820068,165225,mmlabaimensgpuserver,195.251.234.24,7.889916896820068,0,4,2.999915361404419,1344,1344,1344,1344,-266976.2134107319,-559125.1054484426,-385235.9844672183,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319]","[336, 336, 336, 336]",0.1584700039551083,5.209762243617809,0.14746367936318472,0.26871601891915,0.0,0.014513731002807617,0.0026285648345947266,0.05990862846374512,1972.237,27.758,12104.462,0.173,1344,1344,1344,1344,5.733333333333333,11.133333333333333,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319]","[336, 336, 336, 336]",0.1584700039551083,5.209762243617809,0.14746367936318472,0.26871601891915,0.0,0.014513731002807617,0.0026285648345947266,0.05990862846374512,40.0,-3.5643578e-05,336,4,0.0,0.0010000000474974513,0.009999999776482582,-314169440.0,5853.2617,22.635637,565386900000.0
-266976.2134107319,-559125.1054484426,-366171.6045284521,336.0,1,0,0,0,0,1680,1680,1680,1680,336,336,1680,336,1680,False,5,5,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-10,1711724950,1.9636969566345215,9.85361385345459,165225,mmlabaimensgpuserver,195.251.234.24,9.85361385345459,0,5,2.999915361404419,1680,1680,1680,1680,-266976.2134107319,-559125.1054484426,-366171.6045284521,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873]","[336, 336, 336, 336, 336]",0.15808738325429522,5.208796200357072,0.14723850477732428,0.268265480497749,0.0,0.01445770263671875,0.0025510787963867188,0.06007194519042969,1970.478,25.951,12947.5,0.167,1680,1680,1680,1680,6.366666666666667,11.233333333333334,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873]","[336, 336, 336, 336, 336]",0.15808738325429522,5.208796200357072,0.14723850477732428,0.268265480497749,0.0,0.01445770263671875,0.0025510787963867188,0.06007194519042969,40.0,-3.5762787e-05,336,5,0.0,0.0010000000474974513,0.009999999776482582,-352114000.0,5771.44,22.637608,718114900000.0
-266976.2134107319,-559125.1054484426,-351279.599933251,336.0,1,0,0,0,0,2016,2016,2016,2016,336,336,2016,336,2016,False,6,6,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-12,1711724952,1.9393360614776611,11.792949914932251,165225,mmlabaimensgpuserver,195.251.234.24,11.792949914932251,0,6,2.999915361404419,2016,2016,2016,2016,-266976.2134107319,-559125.1054484426,-351279.599933251,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456]","[336, 336, 336, 336, 336, 336]",0.15770400217762157,5.206706340997043,0.1469958373174125,0.267739290290756,0.0,0.014460086822509766,0.002507368723551432,0.059866905212402344,1965.245,24.759,13570.837,0.164,2016,2016,2016,2016,5.9,11.3,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456]","[336, 336, 336, 336, 336, 336]",0.15770400217762157,5.206706340997043,0.1469958373174125,0.267739290290756,0.0,0.014460086822509766,0.002507368723551432,0.059866905212402344,39.999996,-4.7802925e-05,336,6,0.0,0.0010000000474974513,0.009999999776482582,-342672220.0,5662.813,22.639141,669070850000.0
-266976.2134107319,-559125.1054484426,-346379.79200008145,336.0,1,0,0,0,0,2352,2352,2352,2352,336,336,2352,336,2352,False,7,7,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-14,1711724954,1.9665336608886719,13.759483575820923,165225,mmlabaimensgpuserver,195.251.234.24,13.759483575820923,0,7,2.999915361404419,2352,2352,2352,2352,-266976.2134107319,-559125.1054484426,-346379.79200008145,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643]","[336, 336, 336, 336, 336, 336, 336]",0.1573903869434441,5.205826601989473,0.14681167235407136,0.267279578797217,0.0,0.014322144644601005,0.002472741263253348,0.05965232849121094,1965.391,23.936,14037.474,0.161,2352,2352,2352,2352,5.733333333333334,11.4,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643]","[336, 336, 336, 336, 336, 336, 336]",0.1573903869434441,5.205826601989473,0.14681167235407136,0.267279578797217,0.0,0.014322144644601005,0.002472741263253348,0.05965232849121094,40.0,-3.8027763e-05,336,7,0.0,0.0010000000474974513,0.009999999776482582,-386470660.0,5539.3257,22.640638,891810740000.0
-266976.2134107319,-559125.1054484426,-341577.7785821174,336.0,1,0,0,0,0,2688,2688,2688,2688,336,336,2688,336,2688,False,8,8,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-16,1711724956,1.9641244411468506,15.723608016967773,165225,mmlabaimensgpuserver,195.251.234.24,15.723608016967773,0,8,2.999915361404419,2688,2688,2688,2688,-266976.2134107319,-559125.1054484426,-341577.7785821174,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15710778162493486,5.205466954729831,0.1466677033328399,0.2668803749976594,0.0,0.014233589172363281,0.0024646520614624023,0.0593721866607666,1965.2,23.34,14395.73,0.159,2688,2688,2688,2688,5.7,11.466666666666667,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15710778162493486,5.205466954729831,0.1466677033328399,0.2668803749976594,0.0,0.014233589172363281,0.0024646520614624023,0.0593721866607666,40.0,-5.5789948e-05,336,8,0.0,0.0010000000474974513,0.009999999776482582,-497546020.0,5445.831,22.641941,732742400000.0
-259054.68931133774,-559125.1054484426,-332408.5464409196,336.0,1,0,0,0,0,3024,3024,3024,3024,336,336,3024,336,3024,False,9,9,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-18,1711724958,1.950035572052002,17.673643589019775,165225,mmlabaimensgpuserver,195.251.234.24,17.673643589019775,0,9,2.999915361404419,3024,3024,3024,3024,-259054.68931133774,-559125.1054484426,-332408.5464409196,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903, -259054.68931133774]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15684294796948303,5.204962817597593,0.1465282599672978,0.2664921383980787,0.0,0.014183256361219618,0.0024424658881293405,0.059403313530815974,1963.484,22.852,14703.344,0.157,3024,3024,3024,3024,5.633333333333333,11.566666666666668,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903, -259054.68931133774]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15684294796948303,5.204962817597593,0.1465282599672978,0.2664921383980787,0.0,0.014183256361219618,0.0024424658881293405,0.059403313530815974,40.0,-5.0783157e-05,336,9,0.0,0.0010000000474974513,0.009999999776482582,-795158400.0,5348.1626,22.643587,601641300000.0
-237817.51224007088,-559125.1054484426,-322949.44302083476,336.0,1,0,0,0,0,3360,3360,3360,3360,336,336,3360,336,3360,False,10,10,4259f_00000,747b0ba38abf4381a1153436e969d982,2024-03-29_15-09-20,1711724960,1.9713022708892822,19.644945859909058,165225,mmlabaimensgpuserver,195.251.234.24,19.644945859909058,0,10,2.999915361404419,3360,3360,3360,3360,-237817.51224007088,-559125.1054484426,-322949.44302083476,336.0,1,0,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903, -259054.68931133774, -237817.51224007088]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.1566148948131154,5.2049194327573,0.14640725563036322,0.26615792300451663,0.0,0.01416921615600586,0.0024318695068359375,0.05936861038208008,1964.238,22.627,14849.519,0.158,3360,3360,3360,3360,5.7,11.666666666666666,"[-559125.1054484426, -439268.71239131974, -275573.90661837894, -266976.2134107319, -289914.0847733873, -276819.5769572456, -316980.9444010643, -307963.68465636903, -259054.68931133774, -237817.51224007088]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.1566148948131154,5.2049194327573,0.14640725563036322,0.26615792300451663,0.0,0.01416921615600586,0.0024318695068359375,0.05936861038208008,39.999992,-6.723404e-05,336,10,0.0,0.0010000000474974513,0.009999999776482582,-4165851000.0,5248.967,22.645668,492035470000.0
