episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/grad_gnorm,info/learner/default_policy/vf_explained_var,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/var_gnorm,info/learner/default_policy/learner_stats/vf_loss
-1661292.0442888488,-1661292.0442888488,-1661292.0442888488,336.0,1,0,0,0,0,336,336,336,336,336,336,336,336,336,False,1,1,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-49,1706263489,2.027391195297241,2.027391195297241,39118,mmlabaimensgpuserver,195.251.234.24,2.027391195297241,0,1,3.09731388092041,336,336,336,336,-1661292.0442888488,-1661292.0442888488,-1661292.0442888488,336.0,1,0,[-1661292.0442888488],[336],0.15690277167526834,5.265827348748725,0.1484470480627405,0.26715332393476443,0.0,0.014758110046386719,0.002384185791015625,0.06096363067626953,2027.15,56.005,5999.439,0.229,336,336,336,336,6.099999999999999,8.6,[-1661292.0442888488],[336],0.15690277167526834,5.265827348748725,0.1484470480627405,0.26715332393476443,0.0,0.014758110046386719,0.002384185791015625,0.06096363067626953,40.000004,0.0,336,1,0,0.0010000000474974513,0.009999999776482582,-1527852300.0,4295.329,22.627459,23511215000000.0
-1329713.7095488962,-1661292.0442888488,-1495502.8769188724,336.0,1,0,0,0,0,672,672,672,672,336,336,672,336,672,False,2,2,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-51,1706263491,1.9800829887390137,4.007474184036255,39118,mmlabaimensgpuserver,195.251.234.24,4.007474184036255,0,2,3.09731388092041,672,672,672,672,-1329713.7095488962,-1661292.0442888488,-1495502.8769188724,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962]","[336, 336]",0.15668987733243503,5.263599832077054,0.14843830345865916,0.2668776231826693,0.0,0.01544952392578125,0.0024557113647460938,0.05996227264404297,2003.505,37.392,8985.874,0.184,672,672,672,672,6.033333333333334,8.733333333333333,"[-1661292.0442888488, -1329713.7095488962]","[336, 336]",0.15668987733243503,5.263599832077054,0.14843830345865916,0.2668776231826693,0.0,0.01544952392578125,0.0024557113647460938,0.05996227264404297,40.000004,-1.9073486e-06,336,2,0.0,0.0010000000474974513,0.009999999776482582,-1195777800.0,4257.0044,22.62906,14645170000000.0
-1329713.7095488962,-1661292.0442888488,-1492832.5956486177,336.0,1,0,0,0,0,1008,1008,1008,1008,336,336,1008,336,1008,False,3,3,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-53,1706263493,1.9705426692962646,5.9780168533325195,39118,mmlabaimensgpuserver,195.251.234.24,5.9780168533325195,0,3,3.09731388092041,1008,1008,1008,1008,-1329713.7095488962,-1661292.0442888488,-1492832.5956486177,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109]","[336, 336, 336]",0.15648620752729614,5.259716132004715,0.14821266604673625,0.26650434685058905,0.0,0.01529852549235026,0.0024398167928059897,0.05946159362792969,1992.438,31.204,10767.746,0.171,1008,1008,1008,1008,5.7,8.833333333333334,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109]","[336, 336, 336]",0.15648620752729614,5.259716132004715,0.14821266604673625,0.26650434685058905,0.0,0.01529852549235026,0.0024398167928059897,0.05946159362792969,40.0,-3.5762787e-06,336,3,0.0,0.0010000000474974513,0.009999999776482582,-1317936300.0,4091.6614,22.630638,18869880000000.0
-1329713.7095488962,-1661292.0442888488,-1471212.8671229798,336.0,1,0,0,0,0,1344,1344,1344,1344,336,336,1344,336,1344,False,4,4,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-55,1706263495,1.9536197185516357,7.931636571884155,39118,mmlabaimensgpuserver,195.251.234.24,7.931636571884155,0,4,3.09731388092041,1344,1344,1344,1344,-1329713.7095488962,-1661292.0442888488,-1471212.8671229798,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655]","[336, 336, 336, 336]",0.1559662632836929,5.254552547804229,0.1477747436098772,0.26572180506605647,0.0,0.014793872833251953,0.002366304397583008,0.05872845649719238,1982.673,28.118,11949.837,0.163,1344,1344,1344,1344,5.633333333333333,8.933333333333334,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655]","[336, 336, 336, 336]",0.1559662632836929,5.254552547804229,0.1477747436098772,0.26572180506605647,0.0,0.014793872833251953,0.002366304397583008,0.05872845649719238,40.0,-5.722046e-06,336,4,0.0,0.0010000000474974513,0.009999999776482582,-1115812600.0,3645.9941,22.633558,17440993000000.0
-1329713.7095488962,-1661292.0442888488,-1450822.0475347564,336.0,1,0,0,0,0,1680,1680,1680,1680,336,336,1680,336,1680,False,5,5,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-57,1706263497,1.9524641036987305,9.884100675582886,39118,mmlabaimensgpuserver,195.251.234.24,9.884100675582886,0,5,3.09731388092041,1680,1680,1680,1680,-1329713.7095488962,-1661292.0442888488,-1450822.0475347564,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627]","[336, 336, 336, 336, 336]",0.15544410705654654,5.249731509019925,0.14737902535331132,0.2650236312690553,0.0,0.014519691467285156,0.00232696533203125,0.05809307098388672,1976.579,26.209,12820.247,0.159,1680,1680,1680,1680,6.1000000000000005,9.033333333333333,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627]","[336, 336, 336, 336, 336]",0.15544410705654654,5.249731509019925,0.14737902535331132,0.2650236312690553,0.0,0.014519691467285156,0.00232696533203125,0.05809307098388672,39.999996,-7.390976e-06,336,5,0.0,0.0010000000474974513,0.009999999776482582,-961373100.0,3253.7153,22.635582,16066808000000.0
-1214044.3328933395,-1661292.0442888488,-1411359.0950945204,336.0,1,0,0,0,0,2016,2016,2016,2016,336,336,2016,336,2016,False,6,6,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-04-59,1706263499,1.954575538635254,11.83867621421814,39118,mmlabaimensgpuserver,195.251.234.24,11.83867621421814,0,6,3.09731388092041,2016,2016,2016,2016,-1214044.3328933395,-1661292.0442888488,-1411359.0950945204,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395]","[336, 336, 336, 336, 336, 336]",0.1550432884804914,5.245644464092394,0.14703257840356967,0.26443078859889385,0.0,0.014416376749674479,0.002304712931315104,0.058150291442871094,1972.87,25.003,13438.261,0.155,2016,2016,2016,2016,5.533333333333334,9.133333333333333,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395]","[336, 336, 336, 336, 336, 336]",0.1550432884804914,5.245644464092394,0.14703257840356967,0.26443078859889385,0.0,0.014416376749674479,0.002304712931315104,0.058150291442871094,40.0,-1.1086464e-05,336,6,0.0,0.0010000000474974513,0.009999999776482582,-793330900.0,2950.012,22.636242,12372410000000.0
-1210629.2963005574,-1661292.0442888488,-1382683.4095525257,336.0,1,0,0,0,0,2352,2352,2352,2352,336,336,2352,336,2352,False,7,7,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-05-01,1706263501,1.960212230682373,13.798888444900513,39118,mmlabaimensgpuserver,195.251.234.24,13.798888444900513,0,7,3.09731388092041,2352,2352,2352,2352,-1210629.2963005574,-1661292.0442888488,-1382683.4095525257,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574]","[336, 336, 336, 336, 336, 336, 336]",0.15474309318945925,5.242480706366228,0.14674848339945196,0.26393929359715373,0.0,0.014322144644601005,0.0023092542375837055,0.058453423636300225,1971.023,24.16,13907.22,0.154,2352,2352,2352,2352,6.05,9.2,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574]","[336, 336, 336, 336, 336, 336, 336]",0.15474309318945925,5.242480706366228,0.14674848339945196,0.26393929359715373,0.0,0.014322144644601005,0.0023092542375837055,0.058453423636300225,39.999996,-1.3828278e-05,336,7,0.0,0.0010000000474974513,0.009999999776482582,-751675800.0,2641.962,22.63824,12203179000000.0
-1172441.5105270534,-1661292.0442888488,-1356403.1721743415,336.0,1,0,0,0,0,2688,2688,2688,2688,336,336,2688,336,2688,False,8,8,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-05-03,1706263503,1.9663012027740479,15.76518964767456,39118,mmlabaimensgpuserver,195.251.234.24,15.76518964767456,0,8,3.09731388092041,2688,2688,2688,2688,-1172441.5105270534,-1661292.0442888488,-1356403.1721743415,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15448039811436282,5.24025920961167,0.14652027959999903,0.2635397390342057,0.0,0.014194846153259277,0.002306699752807617,0.05817115306854248,1970.399,23.467,14318.267,0.152,2688,2688,2688,2688,5.933333333333334,9.266666666666667,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15448039811436282,5.24025920961167,0.14652027959999903,0.2635397390342057,0.0,0.014194846153259277,0.002306699752807617,0.05817115306854248,39.999996,-1.513958e-05,336,8,0.0,0.0010000000474974513,0.009999999776482582,-1032408600.0,2326.8945,22.641207,11834562000000.0
-1172441.5105270534,-1661292.0442888488,-1337236.4882577069,336.0,1,0,0,0,0,3024,3024,3024,3024,336,336,3024,336,3024,False,9,9,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-05-05,1706263505,1.946702480316162,17.711892127990723,39118,mmlabaimensgpuserver,195.251.234.24,17.711892127990723,0,9,3.09731388092041,3024,3024,3024,3024,-1172441.5105270534,-1661292.0442888488,-1337236.4882577069,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534, -1183903.016924629]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15423558931316098,5.237984258536555,0.14630423997137232,0.2631628275966822,0.0,0.01415146721733941,0.0022967656453450522,0.05829864078097873,1967.737,22.996,14610.966,0.151,3024,3024,3024,3024,5.666666666666667,9.366666666666667,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534, -1183903.016924629]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15423558931316098,5.237984258536555,0.14630423997137232,0.2631628275966822,0.0,0.01415146721733941,0.0022967656453450522,0.05829864078097873,40.0,-1.5497208e-05,336,9,0.0,0.0010000000474974513,0.009999999776482582,-78022200000.0,2075.4336,22.643488,11922471000000.0
-1098081.840850202,-1661292.0442888488,-1313321.0235169563,336.0,1,0,0,0,0,3360,3360,3360,3360,336,336,3360,336,3360,False,10,10,52f48_00000,7f78955ebadf4f82b1eb736ecfddff32,2024-01-26_10-05-07,1706263507,1.958524465560913,19.670416593551636,39118,mmlabaimensgpuserver,195.251.234.24,19.670416593551636,0,10,3.09731388092041,3360,3360,3360,3360,-1098081.840850202,-1661292.0442888488,-1313321.0235169563,336.0,1,0,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534, -1183903.016924629, -1098081.840850202]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15402361100507322,5.236062494987456,0.14611980410808184,0.2628532519578282,0.0,0.014116764068603516,0.0022840499877929688,0.058274269104003906,1966.788,22.579,14880.894,0.151,3360,3360,3360,3360,6.133333333333333,9.466666666666667,"[-1661292.0442888488, -1329713.7095488962, -1487492.033108109, -1406353.6815460655, -1369258.7691818627, -1214044.3328933395, -1210629.2963005574, -1172441.5105270534, -1183903.016924629, -1098081.840850202]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15402361100507322,5.236062494987456,0.14611980410808184,0.2628532519578282,0.0,0.014116764068603516,0.0022840499877929688,0.058274269104003906,40.0,-1.8715858e-05,336,10,0.0,0.0010000000474974513,0.009999999776482582,-94303420000.0,1896.7462,22.644825,10792431000000.0
