episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/grad_gnorm,info/learner/default_policy/vf_explained_var,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/var_gnorm,info/learner/default_policy/learner_stats/vf_loss
-1011863.0442888482,-1011863.0442888482,-1011863.0442888482,336.0,1,0,0,0,0,336,336,336,336,336,336,336,336,336,False,1,1,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-50-51,1706194251,2.007533311843872,2.007533311843872,12997,mmlabaimensgpuserver,195.251.234.24,2.007533311843872,0,1,3.194891929626465,336,336,336,336,-1011863.0442888482,-1011863.0442888482,-1011863.0442888482,336.0,1,0,[-1011863.0442888482],[336],0.15671246129610417,5.216012015187068,0.14747073459342255,0.2614192509863426,0.0,0.015306472778320312,0.0024557113647460938,0.06220340728759765,2007.294,55.168,6090.497,0.202,336,336,336,336,6.033333333333334,8.733333333333333,[-1011863.0442888482],[336],0.15671246129610417,5.216012015187068,0.14747073459342255,0.2614192509863426,0.0,0.015306472778320312,0.0024557113647460938,0.06220340728759765,40.000004,2.9802322e-07,336,1,0,0.0010000000474974513,0.009999999776482582,-930987400.0,4295.329,22.627459,8731197700000.0
-820620.1443493125,-1011863.0442888482,-916241.5943190804,336.0,1,0,0,0,0,672,672,672,672,336,336,672,336,672,False,2,2,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-50-53,1706194253,1.9734272956848145,3.9809606075286865,12997,mmlabaimensgpuserver,195.251.234.24,3.9809606075286865,0,2,3.194891929626465,672,672,672,672,-820620.1443493125,-1011863.0442888482,-916241.5943190804,336.0,1,0,"[-1011863.0442888482, -820620.1443493125]","[336, 336]",0.15649517441517458,5.222668700894957,0.1476164315657332,0.2608557031182816,0.0,0.01506805419921875,0.0024437904357910156,0.061762332916259766,1990.234,37.233,9024.369,0.175,672,672,672,672,5.766666666666667,8.866666666666667,"[-1011863.0442888482, -820620.1443493125]","[336, 336]",0.15649517441517458,5.222668700894957,0.1476164315657332,0.2608557031182816,0.0,0.01506805419921875,0.0024437904357910156,0.061762332916259766,39.999996,-2.9802322e-06,336,2,0.0,0.0010000000474974513,0.009999999776482582,-739087170.0,4258.304,22.62903,5567434000000.0
-820620.1443493125,-1011863.0442888482,-915417.8082734788,336.0,1,0,0,0,0,1008,1008,1008,1008,336,336,1008,336,1008,False,3,3,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-50-55,1706194255,1.9775586128234863,5.958519220352173,12997,mmlabaimensgpuserver,195.251.234.24,5.958519220352173,0,3,3.194891929626465,1008,1008,1008,1008,-820620.1443493125,-1011863.0442888482,-915417.8082734788,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752]","[336, 336, 336]",0.1564301286713356,5.227145144416283,0.14774178262765358,0.26101598057258985,0.0,0.01609325408935547,0.0024318695068359375,0.06155172983805338,1985.929,31.273,10744.103,0.163,1008,1008,1008,1008,5.666666666666667,8.966666666666667,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752]","[336, 336, 336]",0.1564301286713356,5.227145144416283,0.14774178262765358,0.26101598057258985,0.0,0.01609325408935547,0.0024318695068359375,0.06155172983805338,40.0,-5.6028366e-06,336,3,0.0,0.0010000000474974513,0.009999999776482582,-810746400.0,4099.0894,22.630503,7116101000000.0
-820620.1443493125,-1011863.0442888482,-904260.9340665509,336.0,1,0,0,0,0,1344,1344,1344,1344,336,336,1344,336,1344,False,4,4,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-50-57,1706194257,1.9568865299224854,7.915405750274658,12997,mmlabaimensgpuserver,195.251.234.24,7.915405750274658,0,4,3.194891929626465,1344,1344,1344,1344,-820620.1443493125,-1011863.0442888482,-904260.9340665509,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676]","[336, 336, 336, 336]",0.15604186238103748,5.2279069700115395,0.14755714283617333,0.2604794678863729,0.0,0.015562772750854492,0.0024080276489257812,0.0609278678894043,1978.606,28.125,11946.621,0.166,1344,1344,1344,1344,5.633333333333333,9.033333333333333,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676]","[336, 336, 336, 336]",0.15604186238103748,5.2279069700115395,0.14755714283617333,0.2604794678863729,0.0,0.015562772750854492,0.0024080276489257812,0.0609278678894043,39.999996,-8.940697e-06,336,4,0.0,0.0010000000474974513,0.009999999776482582,-693822700.0,3661.7908,22.633474,6703706300000.0
-820620.1443493125,-1011863.0442888482,-899678.3738101985,336.0,1,0,0,0,0,1680,1680,1680,1680,336,336,1680,336,1680,False,5,5,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-50-59,1706194259,1.9519445896148682,9.867350339889526,12997,mmlabaimensgpuserver,195.251.234.24,9.867350339889526,0,5,3.194891929626465,1680,1680,1680,1680,-820620.1443493125,-1011863.0442888482,-899678.3738101985,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885]","[336, 336, 336, 336, 336]",0.1556492827260935,5.227044388160884,0.14728916421814986,0.25990496408142155,0.0,0.015096664428710938,0.0023984909057617188,0.060400962829589844,1973.223,26.251,12799.637,0.161,1680,1680,1680,1680,5.633333333333333,9.133333333333333,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885]","[336, 336, 336, 336, 336]",0.1556492827260935,5.227044388160884,0.14728916421814986,0.25990496408142155,0.0,0.015096664428710938,0.0023984909057617188,0.060400962829589844,39.999996,-1.1920929e-05,336,5,0.0,0.0010000000474974513,0.009999999776482582,-615263300.0,3233.0718,22.637318,6660550000000.0
-758279.7272651849,-1011863.0442888482,-876111.9327193629,336.0,1,0,0,0,0,2016,2016,2016,2016,336,336,2016,336,2016,False,6,6,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-51-00,1706194260,1.953010082244873,11.8203604221344,12997,mmlabaimensgpuserver,195.251.234.24,11.8203604221344,0,6,3.194891929626465,2016,2016,2016,2016,-758279.7272651849,-1011863.0442888482,-876111.9327193629,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849]","[336, 336, 336, 336, 336, 336]",0.1553183867136704,5.225712593344691,0.1470416390561435,0.2594169584006851,0.0,0.014921029408772787,0.0023762385050455728,0.060470898946126304,1969.812,25.075,13400.014,0.159,2016,2016,2016,2016,5.766666666666667,9.233333333333333,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849]","[336, 336, 336, 336, 336, 336]",0.1553183867136704,5.225712593344691,0.1470416390561435,0.2594169584006851,0.0,0.014921029408772787,0.0023762385050455728,0.060470898946126304,40.0,-1.8119812e-05,336,6,0.0,0.0010000000474974513,0.009999999776482582,-538562900.0,2890.683,22.638649,4867333000000.0
-744954.7440784589,-1011863.0442888482,-857375.191484948,336.0,1,0,0,0,0,2352,2352,2352,2352,336,336,2352,336,2352,False,7,7,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-51-02,1706194262,1.9708893299102783,13.791249752044678,12997,mmlabaimensgpuserver,195.251.234.24,13.791249752044678,0,7,3.194891929626465,2352,2352,2352,2352,-744954.7440784589,-1011863.0442888482,-857375.191484948,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589]","[336, 336, 336, 336, 336, 336, 336]",0.15506985290089728,5.225251538631945,0.14686379930836835,0.25907107488655745,0.0,0.01480238778250558,0.002356937953404018,0.06041526794433594,1969.928,24.217,13874.555,0.156,2352,2352,2352,2352,5.6,9.3,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589]","[336, 336, 336, 336, 336, 336, 336]",0.15506985290089728,5.225251538631945,0.14686379930836835,0.25907107488655745,0.0,0.01480238778250558,0.002356937953404018,0.06041526794433594,39.999996,-2.360344e-05,336,7,0.0,0.0010000000474974513,0.009999999776482582,-2235879000.0,2533.3499,22.641499,4639898500000.0
-717262.044544897,-1011863.0442888482,-839861.0481174416,336.0,1,0,0,0,0,2688,2688,2688,2688,336,336,2688,336,2688,False,8,8,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-51-04,1706194264,1.9696450233459473,15.760894775390625,12997,mmlabaimensgpuserver,195.251.234.24,15.760894775390625,0,8,3.194891929626465,2688,2688,2688,2688,-717262.044544897,-1011863.0442888482,-839861.0481174416,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15487755343822113,5.225186314527106,0.1467303047340343,0.25879544128593646,0.0,0.014674663543701172,0.002339482307434082,0.06015598773956299,1969.858,23.565,14258.329,0.155,2688,2688,2688,2688,5.599999999999999,9.4,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897]","[336, 336, 336, 336, 336, 336, 336, 336]",0.15487755343822113,5.225186314527106,0.1467303047340343,0.25879544128593646,0.0,0.014674663543701172,0.002339482307434082,0.06015598773956299,40.0,-2.69413e-05,336,8,0.0,0.0010000000474974513,0.009999999776482582,-229357390000.0,2164.2534,22.645422,4470591000000.0
-717262.044544897,-1011863.0442888482,-826258.0734098303,336.0,1,0,0,0,0,3024,3024,3024,3024,336,336,3024,336,3024,False,9,9,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-51-06,1706194266,1.9500553607940674,17.710950136184692,12997,mmlabaimensgpuserver,195.251.234.24,17.710950136184692,0,9,3.194891929626465,3024,3024,3024,3024,-717262.044544897,-1011863.0442888482,-826258.0734098303,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897, -717434.2757489405]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15471091251957145,5.224651187850704,0.14660462552347991,0.2585700104324642,0.0,0.014564726087782118,0.0023285547892252603,0.059949027167426214,1967.628,23.049,14577.867,0.153,3024,3024,3024,3024,5.7,9.466666666666667,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897, -717434.2757489405]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15471091251957145,5.224651187850704,0.14660462552347991,0.2585700104324642,0.0,0.014564726087782118,0.0023285547892252603,0.059949027167426214,39.999996,-2.8014183e-05,336,9,0.0,0.0010000000474974513,0.009999999776482582,-412469230000.0,1880.2928,22.647818,4355163400000.0
-657996.5570036542,-1011863.0442888482,-809431.9217692127,336.0,1,0,0,0,0,3360,3360,3360,3360,336,336,3360,336,3360,False,10,10,1d65c_00000,421b70bb4840442baba09335e14a90bf,2024-01-25_14-51-08,1706194268,1.9762392044067383,19.68718934059143,12997,mmlabaimensgpuserver,195.251.234.24,19.68718934059143,0,10,3.194891929626465,3360,3360,3360,3360,-657996.5570036542,-1011863.0442888482,-809431.9217692127,336.0,1,0,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897, -717434.2757489405, -657996.5570036542]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15458789847814022,5.22458364865486,0.14650784944072553,0.25839837990739223,0.0,0.01466989517211914,0.0023317337036132812,0.06008148193359375,1968.463,22.666,14824.198,0.152,3360,3360,3360,3360,5.666666666666667,9.566666666666668,"[-1011863.0442888482, -820620.1443493125, -913770.2361822752, -870790.3114457676, -881348.1327847885, -758279.7272651849, -744954.7440784589, -717262.044544897, -717434.2757489405, -657996.5570036542]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15458789847814022,5.22458364865486,0.14650784944072553,0.25839837990739223,0.0,0.01466989517211914,0.0023317337036132812,0.06008148193359375,40.000004,-3.325939e-05,336,10,0.0,0.0010000000474974513,0.009999999776482582,-1399437100000.0,1679.5071,22.649065,3904829400000.0
