episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-1005138.234705192,-1005138.234705192,-1005138.234705192,336.0,1,0,0,0,0,336,336,336,336,336,336,336,336,336,False,1,1,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-14,1706260514,3.584887742996216,3.584887742996216,31437,mmlabaimensgpuserver,195.251.234.24,3.584887742996216,0,1,4.396353721618652,336,336,336,336,-1005138.234705192,-1005138.234705192,-1005138.234705192,336.0,1,0,[-1005138.234705192],[336],0.16269697987361195,5.228252722177024,0.14894652437385536,0.25873368147218967,0.0,0.014519691467285156,0.0026464462280273438,0.061202049255371094,3584.671,1625.986,206.644,336,336,336,336,5.566666666666666,8.65,[-1005138.234705192],[336],0.16269697987361195,5.228252722177024,0.14894652437385536,0.25873368147218967,0.0,0.014519691467285156,0.0026464462280273438,0.061202049255371094,112.0,45.5,44.5,0.20000000298023224,0.0010000000474974513,10.000471,-0.05996542,10.0,8.013513e-08,0.3021834,12.904837,0.0
-930640.2578650372,-1005138.234705192,-967889.2462851147,336.0,1,0,0,0,0,672,672,672,672,336,336,672,336,672,False,2,2,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-17,1706260517,3.5250861644744873,7.109973907470703,31437,mmlabaimensgpuserver,195.251.234.24,7.109973907470703,0,2,4.396353721618652,672,672,672,672,-930640.2578650372,-1005138.234705192,-967889.2462851147,336.0,1,0,"[-1005138.234705192, -930640.2578650372]","[336, 336]",0.1620216496112138,5.230753793527673,0.1484682218098592,0.2586674712006912,0.0,0.014793872833251953,0.0026702880859375,0.06095170974731445,3554.76,1598.676,210.174,672,672,672,672,5.64,8.8,"[-1005138.234705192, -930640.2578650372]","[336, 336]",0.1620216496112138,5.230753793527673,0.1484682218098592,0.2586674712006912,0.0,0.014793872833251953,0.0026702880859375,0.06095170974731445,112.0,135.5,44.5,0.30000001192092896,0.0010000000474974513,9.87516,-0.14540458,10.0,6.357829e-08,0.068549305,12.703988,0.0
-930640.2578650372,-1005138.234705192,-967767.3907145592,336.0,1,0,0,0,0,1008,1008,1008,1008,336,336,1008,336,1008,False,3,3,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-21,1706260521,3.4913337230682373,10.60130763053894,31437,mmlabaimensgpuserver,195.251.234.24,10.60130763053894,0,3,4.396353721618652,1008,1008,1008,1008,-930640.2578650372,-1005138.234705192,-967767.3907145592,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484]","[336, 336, 336]",0.16158410264327586,5.230020193403243,0.14815400515832475,0.25857820173897544,0.0,0.01510779062906901,0.0026305516560872397,0.06012916564941406,3533.545,1580.645,212.571,1008,1008,1008,1008,5.639999999999999,8.940000000000001,"[-1005138.234705192, -930640.2578650372, -967523.6795734484]","[336, 336, 336]",0.16158410264327586,5.230020193403243,0.14815400515832475,0.25857820173897544,0.0,0.01510779062906901,0.0026305516560872397,0.06012916564941406,112.0,225.5,44.5,0.44999998807907104,0.0010000000474974513,9.894678,-0.12861852,10.0,4.503462e-08,0.051770415,12.747153,0.0
-930640.2578650372,-1005138.234705192,-970319.5963684679,336.0,1,0,0,0,0,1344,1344,1344,1344,336,336,1344,336,1344,False,4,4,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-24,1706260524,3.5358922481536865,14.137199878692627,31437,mmlabaimensgpuserver,195.251.234.24,14.137199878692627,0,4,4.396353721618652,1344,1344,1344,1344,-930640.2578650372,-1005138.234705192,-970319.5963684679,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937]","[336, 336, 336, 336]",0.1613173361557686,5.236610062534149,0.14804255335668354,0.2586244113813855,0.0,0.015652179718017578,0.0026345252990722656,0.06321072578430176,3534.076,1572.261,213.705,1344,1344,1344,1344,6.9799999999999995,8.98,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937]","[336, 336, 336, 336]",0.1613173361557686,5.236610062534149,0.14804255335668354,0.2586244113813855,0.0,0.015652179718017578,0.0026345252990722656,0.06321072578430176,112.0,315.5,44.5,0.675000011920929,0.0010000000474974513,9.897875,-0.13083966,10.0,2.1192763e-08,0.04254069,12.725916,0.0
-930640.2578650372,-1005138.234705192,-970756.9509798478,336.0,1,0,0,0,0,1680,1680,1680,1680,336,336,1680,336,1680,False,5,5,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-28,1706260528,3.484335422515869,17.621535301208496,31437,mmlabaimensgpuserver,195.251.234.24,17.621535301208496,0,5,4.396353721618652,1680,1680,1680,1680,-930640.2578650372,-1005138.234705192,-970756.9509798478,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671]","[336, 336, 336, 336, 336]",0.16095793405845799,5.2384940104661535,0.14783183356125543,0.2583929213595764,0.0,0.015554428100585938,0.00270843505859375,0.06218910217285156,3524.083,1567.123,214.406,1680,1680,1680,1680,5.6,9.080000000000002,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671]","[336, 336, 336, 336, 336]",0.16095793405845799,5.2384940104661535,0.14783183356125543,0.2583929213595764,0.0,0.015554428100585938,0.00270843505859375,0.06218910217285156,112.0,405.5,44.5,1.0125000476837158,0.0010000000474974513,9.889533,-0.1443073,10.0,6.225374e-08,0.033422638,12.773759,0.0
-930286.0407806522,-1005138.234705192,-964011.7992799819,336.0,1,0,0,0,0,2016,2016,2016,2016,336,336,2016,336,2016,False,6,6,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-31,1706260531,3.4842209815979004,21.105756282806396,31437,mmlabaimensgpuserver,195.251.234.24,21.105756282806396,0,6,4.396353721618652,2016,2016,2016,2016,-930286.0407806522,-1005138.234705192,-964011.7992799819,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522]","[336, 336, 336, 336, 336, 336]",0.16062727999708434,5.2382502927249535,0.14761799798790176,0.2581184472178399,0.0,0.01544952392578125,0.0026345252990722656,0.06158749262491862,3517.396,1564.287,214.794,2016,2016,2016,2016,5.5600000000000005,9.219999999999999,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522]","[336, 336, 336, 336, 336, 336]",0.16062727999708434,5.2382502927249535,0.14761799798790176,0.2581184472178399,0.0,0.01544952392578125,0.0026345252990722656,0.06158749262491862,112.0,495.5,44.5,1.5187499523162842,0.0010000000474974513,9.908182,-0.1309505,10.0,4.4372346e-08,0.025766429,12.815886,0.0
-930286.0407806522,-1044238.3591119543,-975472.7363988351,336.0,1,0,0,0,0,2352,2352,2352,2352,336,336,2352,336,2352,False,7,7,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-35,1706260535,3.5194523334503174,24.625208616256714,31437,mmlabaimensgpuserver,195.251.234.24,24.625208616256714,0,7,4.396353721618652,2352,2352,2352,2352,-930286.0407806522,-1044238.3591119543,-975472.7363988351,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543]","[336, 336, 336, 336, 336, 336, 336]",0.16039330062715926,5.238466800294383,0.14744868115036844,0.2579086040490734,0.0,0.01576287405831473,0.0025885445731026785,0.061443873814174106,3517.653,1563.87,214.852,2352,2352,2352,2352,5.7,9.34,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543]","[336, 336, 336, 336, 336, 336, 336]",0.16039330062715926,5.238466800294383,0.14744868115036844,0.2579086040490734,0.0,0.01576287405831473,0.0025885445731026785,0.061443873814174106,112.0,585.5,44.5,2.278125047683716,0.0010000000474974513,9.893576,-0.14946844,10.0,5.033281e-08,0.018894225,12.811757,0.0
-930286.0407806522,-1044238.3591119543,-973959.3359818234,336.0,1,0,0,0,0,2688,2688,2688,2688,336,336,2688,336,2688,False,8,8,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-38,1706260538,3.484428644180298,28.10963726043701,31437,mmlabaimensgpuserver,195.251.234.24,28.10963726043701,0,8,4.396353721618652,2688,2688,2688,2688,-930286.0407806522,-1044238.3591119543,-973959.3359818234,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419]","[336, 336, 336, 336, 336, 336, 336, 336]",0.16016443355853682,5.237610688497229,0.14726895274288004,0.25765984582711154,0.0,0.01563429832458496,0.0025719404220581055,0.06116330623626709,3513.47,1563.104,214.957,2688,2688,2688,2688,5.699999999999999,9.459999999999999,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419]","[336, 336, 336, 336, 336, 336, 336, 336]",0.16016443355853682,5.237610688497229,0.14726895274288004,0.25765984582711154,0.0,0.01563429832458496,0.0025719404220581055,0.06116330623626709,112.0,675.5,44.5,2.278125047683716,0.0010000000474974513,9.903737,-0.13785665,10.0,5.761782e-08,0.01825803,12.808073,0.0
-930286.0407806522,-1044238.3591119543,-972203.1329826111,336.0,1,0,0,0,0,3024,3024,3024,3024,336,336,3024,336,3024,False,9,9,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-42,1706260542,3.5014631748199463,31.611100435256958,31437,mmlabaimensgpuserver,195.251.234.24,31.611100435256958,0,9,4.396353721618652,3024,3024,3024,3024,-930286.0407806522,-1044238.3591119543,-972203.1329826111,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419, -958153.5089889127]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15997852897155196,5.237014605530053,0.1471175335925219,0.25743473175762815,0.0,0.015574031405978732,0.0025537278917100695,0.061175558302137584,3512.109,1561.787,215.138,3024,3024,3024,3024,5.720000000000001,9.580000000000002,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419, -958153.5089889127]","[336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15997852897155196,5.237014605530053,0.1471175335925219,0.25743473175762815,0.0,0.015574031405978732,0.0025537278917100695,0.061175558302137584,112.0,765.5,44.5,2.278125047683716,0.0010000000474974513,9.9054,-0.1362822,10.0,4.635917e-08,0.01829673,12.772595,0.0
-930286.0407806522,-1044238.3591119543,-971278.490407869,336.0,1,0,0,0,0,3360,3360,3360,3360,336,336,3360,336,3360,False,10,10,6395c_00000,6ce7fcdec1494c54946bcd9548096e10,2024-01-26_09-15-45,1706260545,3.507685661315918,35.118786096572876,31437,mmlabaimensgpuserver,195.251.234.24,35.118786096572876,0,10,4.396353721618652,3360,3360,3360,3360,-930286.0407806522,-1044238.3591119543,-971278.490407869,336.0,1,0,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419, -958153.5089889127, -962956.7072351902]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15983573148872543,5.236818835386269,0.146990818679153,0.25728263784228633,0.0,0.015528202056884766,0.002529621124267578,0.060973167419433594,3511.642,1560.366,215.334,3360,3360,3360,3360,5.7,9.74,"[-1005138.234705192, -930640.2578650372, -967523.6795734484, -977976.2133301937, -972506.3694253671, -930286.0407806522, -1044238.3591119543, -963365.5330627419, -958153.5089889127, -962956.7072351902]","[336, 336, 336, 336, 336, 336, 336, 336, 336, 336]",0.15983573148872543,5.236818835386269,0.146990818679153,0.25728263784228633,0.0,0.015528202056884766,0.002529621124267578,0.060973167419433594,112.0,855.5,44.5,2.278125047683716,0.0010000000474974513,9.905788,-0.13754027,10.0,3.2451418e-08,0.019019576,12.740313,0.0
